'	2815|2816|2836|2840|2842|2845|2850|2853|2858
0-8053-4553-1	2824
0-8090-8947-5	2824
0-8122-3886-9	2855
0-8135-2332-X	2833
0-8153-3218-1	2824
0-8153-4072-9	2824|2825
0-8223-3198-5	2820
0-8247-0968-3	2812
0-87833-189-1	2818
0-87930-655-6	2844|2854
0-87969-478-5	2824
0-87969-712-1	2824
0-87969-798-9	2824
0-88048-562-0	2814
0-89169-523-0	2829
0-89820-165-9	2829
0-89862-177-1	2814
0-89879-149-9	2848
0-9631722-5-5	2855
0-9706852-0-3	2855
00	2815|2816|2818|2824|2829|2832|2833|2840|2847|2850|2851|2861
000	2814|2815|2816|2818|2819|2822|2824|2825|2827|2829|2830|2833|2835|2840|2841|2846|2847|2850|2853|2858|2859
000-seat	2833
000-word	2824
000023011	2847
00004-4	2824
00005053-198612000-00004	2814
000059	2830
000089223	2814
00013-5	2824
000165	2825
000255961	2814
000323403	2814
00034-08	2825
00039-X	2825
0004-8038	2827
00048679409080782	2814
0005079339	2829
0007-1595	2827
0008-5472	2825
00082	2825
00089-1	2825
00109-2	2824
001453	2824
0019-5545	2814
0019d	2847
002	2814|2827
002156	2829
00219-7	2825
0022-2836	2824
0022-3514	2832
00238	2824
00297-5	2824
0033-2909	2814
00388-3	2824
003910	2830
00419-1	2825
00478	2827
0058	2832
006	2824
007	2824|2843
008	2824|2825
00843	2827
0092-8674	2824
00PM	2858
01	2814|2815|2816|2817|2818|2822|2825|2826|2827|2829|2831|2833|2840|2841|2842|2843|2847|2854|2855
01-1-079	2825
01-e	2837|2839
010	2824
0110061454	2832
011303	2824
012	2830|2859
0137	2832
016	2825
0163-7258	2824
0168-9525	2824
01780250069008	2814
018	2827
02	2816|2818|2821|2824|2825|2826|2827|2829|2841|2847|2849|2850|2853
0227_0228_dodo	2827
02304	2859
0231	2859
024	2829
028020-119	2837|2839
03	2815|2816|2818|2824|2825|2830|2839|2841|2842|2855|2859
03-0890fje	2825
030	2824|2829
03014223	2827
0308447101	2832
032-02-0071	2814
03250	2824
033	2825
037	2816|2824
0397	2832
04	2815|2825|2829|2830|2838|2840|2841|2845|2853|2855
0405-6	2829
04094	2824
043	2833
04598	2824
04choi	2841
05	2815|2816|2818|2821|2829|2830|2838|2839|2840|2849|2853
0521710162	2833
06	2815|2818|2824|2825|2827|2829|2830|2840|2841
060531	2818
061106-dolphin-legs	2830
062403	2824
0674018028	2814
06_pressDetail	2818
07	2815|2816|2818|2824|2827|2829|2831|2833|2834|2840|2841|2859
070184	2824
0705	2814
0705CP_Article3	2814
070703-dodo	2827
071	2859
072	2859
0725-02	2818
0735-7036	2830
073859	2824
075597919127	2850
08	2815|2816|2824|2833|2834|2841|2845
08-01-2012	2816
08-18-2009	2829
080	2847
080312-AP-dolph-whal	2830
080926	2815
081	2859
0811140321_1_disc-fierce-previous-album	2816
081905	2830
0847	2825
0891-2963	2827
08912960600639400	2827
08912960802376199	2827
08912960903101868	2827
089279307X224782	2830
09	2813|2815|2816|2824|2827|2830|2831|2836|2838|2841|2849|2855|2859
0903	2829
090501	2824
090516cluk	2816
0950	2832
0957154X0001104102	2814
0957154X0201304901	2814
0957154X9901003701	2814
0959683611405236	2827
0963721411429457	2814
0BE8BDD7-E5E8-422A-ABFD-4342ED7AD886	2826
0Ma	2830
1	2812|2813|2814|2815|2816|2817|2818|2819|2820|2821|2822|2823|2824|2825|2826|2827|2828|2829|2830|2831|2832|2833|2834|2835|2836|2837|2838|2839|2840|2841|2842|2843|2844|2845|2846|2847|2848|2849|2850|2851|2852|2853|2854|2855|2856|2857|2858|2859|2860|2861
1's	2815|2816|2841
1-10	2828
1-4039-1479-6	2824
1-4051-1769-9	2814
1-4160-0088-7	2814
1-4a	2813
1-58488-301-4	2812
1-58829-500-1	2825
1-59745-165-7	2824
1-767	2833
1-84215-881-3	2861
1-84353-329-4	2854
1-85575-657-9	2814
1-886502-80-3	2817
1-903018-79-X	2852
1-904041-96-5	2819
1-methyladenine	2825
1-million	2818
10	2813|2814|2815|2816|2818|2819|2820|2822|2824|2825|2826|2827|2828|2829|2830|2831|2832|2833|2834|2835|2836|2837|2838|2839|2840|2841|2842|2843|2845|2846|2847|2848|2849|2850|2852|2853|2855|2857|2859|2861
10-best-michael-jackson-songs	2840
10-minute	2828
100	2814|2815|2816|2817|2818|2819|2820|2824|2827|2829|2833|2834|2835|2836|2837|2838|2839|2840|2841|2842|2843|2846|2847|2848|2849|2850|2852|2853|2859
1000	2832|2855
10000	2852
1001	2814|2840
1002	2814|2824|2825
1003	2827|2829
10034432	2849
1003839063	2815
1006	2814|2824|2832
10064846	2824
1006CP_Article3	2814
1007	2814|2824|2827|2830|2832
101	2815|2824|2832|2841
101202	2824
1013901	2840
1015	2818
1016	2814|2824|2825|2827|2830
1017	2814|2824|2827|2830
102	2815|2824|2829|2833|2841
1021	2824|2825
1021258713850	2824
1023	2824
102803	2814
103	2815|2824|2825|2829|2841
1030	2814
10320-good-girl-gone-bad	2841
10338214	2824
1034	2824
1037	2814|2830|2832
1038	2824|2825|2827|2832
10393911	2824
104	2815|2823|2824|2830|2841
10409230490460765	2824
10409239991209255	2824
10416	2859
1042	2824
10438542	2825
1045	2832
1046	2824|2832
10473346	2824
1049	2832
105	2815|2822|2824|2829|2833|2841
1050	2814
10521332	2827
10538	2834
10538710902743982	2814
10547	2830
10547702	2825
1057	2861
1058	2861
1058040	2824
1059	2861
106	2815|2824|2825|2833|2841
106002441	2827
1063	2824
1063127	2824
10635150701549672	2827
10688	2818
10696264	2814
107	2815|2824|2829|2841|2846
1070174	2825
1073	2824|2827|2832
10733978	2824
1073593	2830
1074	2824|2825
1079-1087	2832
10799645	2824
108	2815|2817|2824|2829|2841|2859
1080	2814|2824|2827
10830948	2825
1084	2824
1085	2824
1086	2827|2832
1089	2825
10891271	2824
108940	2829
10895	2818
109	2815|2824|2827|2829|2841
1091	2849
1093	2824|2825|2827|2832
1096	2825
1096-3642	2827
10966474	2824
1097	2814
1097-0282	2824
1098	2824|2832
10987	2818
1099-patrisha-mclean-hilltop-gardens-photography-maine	2848
1099196	2825
10grammylist	2841
10ride	2849
10th	2814|2825|2827|2861
11	2813|2814|2815|2816|2818|2819|2820|2822|2824|2825|2826|2827|2829|2830|2831|2832|2833|2834|2835|2837|2839|2840|2841|2842|2843|2845|2847|2848|2849|2850|2852|2853|2855|2857|2858|2859|2860|2861
110	2815|2824|2829|2841
11000	2852
1101	2824
1105	2813|2824
11057666	2824
11058099	2824
1106493108	2824
1107	2824
110808220659	2824
111	2813|2815|2824|2841|2848
1111	2824|2825|2827
11178285	2824
1118138821	2814
11181995	2824
112	2814|2815|2824|2827|2840|2841
1122	2841|2852
11236998	2824
11242085	2825
1126	2824|2825|2827|2832
1128	2825
11283701	2824
1129	2824
113	2814|2815|2824|2829|2830|2832|2841
113121	2824
113242681	2856
1133592	2839
1136	2830
11360970	2824
11395412	2824
114	2815|2824|2830|2841
114-hee-haw-s-lulu-roman-set-to-release-at-last-on-january-15	2829
11425512	2825
1143999	2824
11441778	2814
1146	2814|2824|2825
1147	2852
11483706-sun	2829
1148540400	2818
11497996	2824
11498575	2824
115	2815|2824|2827|2841
1152	2859
11520	2824
11533721	2824
1154533	2824
1155	2814|2824
11562309	2824
1158	2825
1159	2814
116	2815|2824|2825|2841|2857
11605	2827
11623821	2814
11624606	2814
1163	2825|2832
1169786	2824
117	2815|2824|2825|2830|2841
117-170	2832
1170-1200	2859
11734907	2824
1174152_2	2850
1176	2814
1177	2814|2827
11779493	2825
11782440	2824
1179	2827
11793386-billboard-awards-cut-off-donna-summer-tribute-to-go-to-commercial	2853
118	2815|2824|2827|2841|2857
11806830	2824
118090594	2846
118278683	2831
11827946	2824
11833768	2825
1186	2824
118642_Shemar_Moore_Don_Cornelius_May_Have_Had_Dementia	2845
11872833	2827
119	2815|2824|2841|2861
1192677	2847
1193-217	2832
1194	2827
11940510	2851
119466	2829
11950565	2824
11950998	2825
1196419	2818
11f8b5e	2818
11th	2825|2833|2859
12	2813|2814|2815|2816|2817|2818|2820|2822|2824|2825|2826|2827|2828|2829|2830|2832|2833|2834|2837|2839|2840|2841|2844|2845|2847|2848|2849|2850|2852|2853|2855|2857|2858|2859|2860|2861
120	2815|2824|2841|2847|2848
1200	2820|2861
12002823	2816
12033366	2846
12042765	2824
12045093	2824
12050675	2824
12052932	2853
1206679	2824
1207120	2832
12083509	2824
12086319	2824
12094818	2814
121	2815|2824|2841
1210	2820
12110897	2824
12145400	2832
121796	2829
12195	2833
122	2815|2824|2827|2841
1220	2859|2861
1220725911081	2815
123	2815|2824|2841|2858
1231	2830
1233-1450	2859
1234	2817
1235186	2839
1237	2861
124	2815|2819|2824|2832|2841
12423347	2824
1246	2861
12479224	2825
12486233	2824
125	2814|2815|2824|2827|2833|2841
1250	2861
12516863	2824
12540907	2824
12540909	2824
12547392	2825
12556884	2825
12595138	2824
12596902	2824
126	2815|2824|2825|2841
12657780	2824
12685	2845
126A	2827
127	2815|2822|2824|2841
12745436	2818
1276	2825
1278	2824
1278a	2824
12797829	2825
128	2815|2824|2841
1280479	2824
12808131	2824
12885257	2824
1289317	2830
129	2815|2824|2827|2830|2841
12947387	2824
12954774	2825
12981234	2824
1299048	2825
12S	2827
12th	2861
13	2813|2814|2815|2816|2818|2819|2820|2822|2824|2825|2826|2827|2828|2829|2830|2832|2833|2839|2840|2841|2844|2845|2847|2848|2849|2850|2852|2853|2855|2857|2858|2859
13-month	2853
13-year-old	2814
130	2815|2824|2841
1300	2820
1300792	2824
1304	2824
1304V	2824
13054692	2824
13054693	2824
13054694	2824
1309662	2830
131	2815|2824|2841
13103145	2824
132	2815|2819|2824|2832|2841
1320	2859
132016	2824
1322	2859
1326583455	2841
1326583507	2841
1326583613	2841
133	2815|2824|2827|2841
133-142	2832
1331	2861
1332764100	2824
134	2814|2815|2824|2825|2827|2841
13489-ronnie-dunn-and-alison-krauss-sing-on-don-henley-album	2847
1349629504	2833
135	2824|2832|2841
1350	2824
13554790801992768	2814
136	2824|2825|2827|2841|2849
1360284	2824
136346159603300104	2814
1365-2451	2827
1365-2958	2824
137	2824|2827|2841|2848
1371	2861
1372984	2824
138	2824|2841|2849
1381612013397113	2824
1383	2814
1384	2832
138478844	2845
1385	2824
139	2824|2841|2849
139201	2824
13th	2847|2859|2861
14	2813|2814|2815|2816|2818|2822|2824|2825|2826|2827|2828|2829|2830|2831|2832|2833|2839|2840|2841|2845|2846|2847|2848|2849|2850|2852|2853|2857|2858|2859|2860
14-track	2818
140	2824|2827|2829|2832|2833|2841
1400	2859|2861
1401	2832
1407	2830
141	2824|2827|2849
1411-1424	2832
1413	2861
1418	2861
142	2824|2829
1420	2859
1423648	2814
143	2824
1432-1033	2824
1432748	2839
143925	2814
144	2824|2827
1442372	2847
145	2824|2827|2859
145080076	2824
1454-1456	2832
1455	2824
146	2814|2824|2827|2849
14628039	2827
14631681	2815
1465	2824
1469	2824
1469-7998	2827
147	2814|2817|2824|2827
1472	2847|2861
14734307	2824
14734635	2825
1474-919X	2827
14744439	2825
1475	2824
148	2814|2815|2824|2827|2829
14822593	2818
1485	2824
1489	2824
149	2824|2827
1493	2833
14971769	2844
14993614	2832
14th	2861
15	2813|2814|2815|2816|2817|2818|2822|2823|2824|2825|2826|2827|2829|2830|2832|2833|2839|2840|2841|2842|2845|2846|2847|2848|2849|2850|2852|2853|2857|2859|2861
15-20	2814
15-September	2850
15-best-rihanna-videos	2841
15-players	2819
15-year-old	2847
150	2814|2819|2824|2835
1500	2827|2859
150041	2824
150442	2824
150454	2824
1505	2814
1507	2827
1508	2849
15098122	2827
151	2824|2827
1510	2861
15105825	2825
15128295	2824
1513	2827
15190921	2827
152	2820|2824|2827
15205477	2825
1521	2859
15217990	2824
1523-1739	2832
1525-142X	2824
15299731003780788	2814
15299732	2814
153	2824|2827|2833
1530	2814
15389973	2824
153N	2824
154	2824
1541	2859
1546	2859
15479634	2824
1548	2859
1549354	2840
155	2824|2827
15503730	2814
15520290	2824
155275	2824
15538369	2832
15560314	2814
15589490	2825
15596463	2824
156	2814|2824|2830|2848
15609994	2824
1561	2827
15680581	2824
156853977x00450	2832
156853990x00455	2832
15692565	2825
1569473	2824
157	2824
157-161	2824
1570752	2840
1574-6976	2825
158	2817|2824|2827
1585-1591	2832
15851066	2824
15853876	2824
15858357	2825
15866038	2824
159	2814|2824
15905142	2824
15912905	2814
15927235	2825
15952889	2824
1596842	2816
1597718	2816
1598	2827
15988757	2824
1599	2827
15996	2824
16	2812|2813|2814|2815|2816|2817|2818|2820|2822|2824|2825|2826|2827|2829|2830|2832|2833|2837|2838|2839|2840|2841|2846|2847|2848|2849|2850|2852|2853|2857|2859
16-year-old	2847
160	2824
1600	2830
1600-065x	2824
16004565	2824
1601	2827
1602	2827
1603	2827
1603914	2815
1604904	2815
1605	2827
1607	2827
16097852	2818
161	2824
1610	2827
1611	2824|2827
1611-12	2857
1612	2857
1614	2859
1615224	2840
1617	2827
1619	2827
162	2824
16246147	2824
1625	2827
1626	2827
1628	2827
1629456	2818
1629856	2818
163	2814|2824|2827
16308382	2830
1631	2827
16339258	2830
1634	2827
1635	2827|2833
16361871	2814
1636468	2824
16369571	2824
1638	2827
164	2816|2824|2861
16403636	2824
1642	2827|2833
16437551	2825
16449200	2824
1645208	2816
1646	2814|2827
16460230	2825
16464012	2825
16464022	2825
1647	2827|2859
16472827	2825
16479578	2824
1648	2827|2859
165	2824|2827|2857
1650	2833
1651	2827
16515737	2824
16530592	2814
16540631	2825
16541064	2824
165570-rihanna-performs-rated-r-tracks-live-in-london	2815|2841
1656	2827
16570853	2824
16585425	2814
1659	2827
16590258	2824
166	2814|2824|2848|2859
1660	2833
1660s	2827
1661	2859
16619049	2824
1662	2827|2832
166200	2824
1664	2859
1665	2827
16666	2824
1667	2859
1668	2827
167	2824|2827|2833
16710414	2824
1674	2827
1675	2857
1678	2859
168	2824|2827
1681	2827
1683	2827
16838012	2824
1685932	2816
1688	2827
1688532	2832
169	2814|2824
1693	2827
1698-1710	2824
16th	2829
17	2813|2814|2815|2816|2818|2822|2824|2825|2827|2828|2829|2830|2832|2833|2836|2839|2840|2841|2843|2845|2846|2847|2848|2849|2850|2851|2852|2853|2857|2859|2860
17'49	2833
17-11-2008	2816
17-city	2829
170	2824
1700	2827
17006450	2825
17012276	2824
1702	2827
171	2814|2824|2859
1710	2827
1715	2827|2833
17172731	2824
171737a0	2824
171738a0	2824
171740a0	2824
1719	2859
172	2814|2824|2827
1727	2833
173	2816|2818|2824|2827|2833
174	2814|2824
1745	2824
1745691612437597	2814
175	2824|2859
1755	2827
17571346	2824
1758	2827
176	2824
1760	2827|2839
1760s	2861
176229733	2843
1763	2833
1766	2827
17661233	2827
17667954	2825
177	2824|2859
1770s	2833
17716088	2814
1771674	2824
17730171	2827
177480	2824
1777	2859
1778	2833
1783	2833
178325	2841
1786	2848
17883408	2825
17901982	2824
1792	2859
1794	2814
1795	2824|2833
1795A	2824
1796	2857
179697	2841
17th	2827|2833|2859
17th-century	2827
18	2814|2815|2816|2818|2822|2824|2825|2827|2829|2830|2832|2833|2839|2840|2841|2843|2845|2847|2848|2849|2850|2852|2853|2854|2856|2857|2858|2859|2860
18-19	2846
18-city	2829
180	2827
1805	2833
1806	2859|2861
181	2817
1811-1833	2857
1819	2827
182	2832
1820	2857
1821	2861
1822	2857
183	2840
1830512	2840
1831	2833
1833	2827
1834	2833
1834301_1834300_1834284	2815
1838	2833
184	2814|2824|2833
1840	2827
1840125	2824
1842	2827
1843	2827
1845378202	2830
1847431	2827
1848	2827
1849	2824
184th	2833
1850	2827
1851	2857
1852	2813|2827
1853955	2814
18569730	2814
18573449	2841
1859-1947	2814
186	2813
1860	2827|2857
1860744680	2843
1860s	2827
1863	2827
1863-	2814
1864	2857
1865	2827|2833
18652789	2814
1866	2827
1867	2827
1869	2824|2827
187	2840
1871	2833
18729565	2814
1875	2859
1878	2824
188	2814
1880	2814
1881402	2824
18818351	2824
1887	2827|2859
1889	2827
1891	2827
1892	2820
1893	2814|2827|2857
1894	2842
1895	2857
1896	2827|2833
1897	2849
1898	2814
1899	2859
189942	2824
18th	2814|2827|2833|2852
18th-century	2827
19	2814|2815|2816|2818|2822|2823|2824|2825|2826|2827|2829|2830|2832|2833|2837|2839|2840|2841|2845|2847|2848|2849|2850|2852|2853|2859
19-21	2813
190	2845
1900	2813|2827|2829|2861
1901	2827
1902	2849
1903	2814|2833
1904	2814|2859
1906	2814|2820
1907	2827
1909	2820
191	2832
191-199	2857
1910	2814|2820
1910s	2819
1911	2859
1914	2857
1915	2819
1916	2819
1917	2819|2827
1918	2819
1919	2819|2821|2824|2827
1920	2814|2819|2849|2851
1920-01-24	2851
1920s	2819|2820|2848|2852
1921	2819
1922	2819|2861
1923	2819
1924	2819|2833
1925	2819|2857|2861
19258535	2825
1926	2819|2849|2857|2861
1926-	2849
1926-05-08	2849
1927	2814|2819|2820|2824
1928	2819|2824|2831
1928-01-09	2831
1928-1-9	2831
1929	2819
1930	2819|2827|2849
19306208	2814
1930s	2819|2820|2848|2852|2855
1931	2813|2819
1932	2819
1933	2819|2830
1934	2819|2822|2843|2855|2861
1935	2819|2820|2861
1936	2819|2833|2845|2851|2855
1936-09-27	2845
1937	2819|2824|2851
19372393	2824
1938	2819|2824|2843|2851|2855|2859|2861
1938-06-21	2843
1939	2819|2821|2848|2851|2857
1939-1946	2859
1939-40	2855
1940	2819|2820|2822|2843|2857|2861
1940s	2819|2827|2855
1941	2819|2820|2822|2827|2843|2859
1942	2819|2829
1942-07-20	2829
1942-2004	2840
19421208	2824
19424153	2824
1943	2819|2820|2824
1943-44	2855
1944	2814|2819|2824|2829
1945	2819|2848|2859
1945-10-02	2848
1946	2819|2829|2831|2849
1946-	2829
1946-01-19	2829
1946-1976	2855
1947	2819|2820|2824|2829|2831|2843|2846|2847|2851|2861
1947-07-22	2847
1947-09-21	2846
1948	2819|2831|2849|2850|2851|2853|2855
1948-01-10	2850
1948-12-31	2853
1949	2819|2831|2851
195	2829
1950	2819|2822|2829|2831|2842|2843|2851|2855|2857
1950s	2813|2819|2820|2827|2830|2848|2849|2850|2855|2856|2859
1951	2817|2819|2822|2831|2843|2851|2855
1952	2819|2824|2831|2844|2851|2854
1952-06-29	2844
1953	2817|2819|2820|2824|2831|2851|2855
1953Natur	2824
1954	2819|2828|2831|2833|2845|2851|2855|2858
1954-1984	2820
1955	2819|2820|2824|2829|2831|2848|2851|2855|2858
1956	2819|2831|2845|2851|2855|2858
1957	2814|2819|2824|2829|2831|2851|2855|2858
1958	2816|2819|2820|2824|2827|2831|2833|2849|2850|2851|2855|2858
1958PNAS	2824
1959	2819|2831|2846|2848|2849|2851|2852|2855|2858
19594328	2825
195th	2833
196	2830
1960	2819|2822|2831|2843|2849|2851|2855|2857|2858|2859
1960-02-28	2858
1960s	2818|2819|2820|2829|2830|2831|2835|2838|2842|2843|2845|2846|2847|2848|2849|2850|2853|2855|2858
1960s-present	2843
1961	2819|2822|2831|2843|2849|2850|2851|2855|2858
1961-2001	2848
1962	2819|2824|2829|2831|2833|2843|2851|2858
1963	2819|2830|2831|2843|2848|2849|2851|2855|2858
19633	2824
1964	2817|2819|2829|2830|2831|2843|2849|2851|2856|2858
1965	2819|2820|2829|2831|2835|2843|2849|2850|2851|2858|2859
1966	2819|2829|2831|2842|2843|2845|2846|2849|2851|2858|2859
1966's	2843
1967	2819|2829|2831|2833|2843|2845|2846|2847|2849|2850|2851|2853|2858
1968	2814|2819|2820|2824|2829|2831|2835|2843|2848|2849|2851|2853|2855|2858|2859
1969	2819|2820|2829|2831|2835|2842|2843|2847|2848|2849|2851|2857|2858|2859
197	2817|2827|2859
1970	2813|2814|2819|2820|2822|2827|2829|2833|2835|2843|2845|2846|2847|2848|2849|2850|2851|2853|2857|2858
1970-2002	2835
1970s	2814|2818|2819|2820|2829|2831|2834|2835|2838|2840|2842|2843|2846|2847|2849|2850|2852|2853|2854|2855|2858
1970s'	2850
1971	2819|2822|2825|2829|2831|2835|2843|2845|2846|2847|2848|2849|2850|2851|2853|2855|2857|2858|2859
1972	2817|2819|2824|2829|2831|2834|2835|2837|2841|2843|2844|2846|2847|2848|2849|2850|2851|2852|2853|2854|2857|2858
19724751	2814
1973	2814|2819|2820|2827|2829|2830|2833|2834|2835|2837|2843|2844|2846|2847|2848|2849|2850|2851|2852|2853|2855|2858|2859
1973-10-22	2832
1974	2814|2819|2820|2824|2827|2829|2831|2834|2835|2837|2843|2845|2846|2847|2848|2849|2850|2851|2853|2858|2859
1974's	2853
19742237	2814
1975	2817|2819|2820|2825|2829|2834|2835|2843|2846|2847|2848|2850|2851|2853|2855|2858
1975's	2829
1976	2813|2814|2819|2820|2824|2825|2829|2834|2835|2836|2837|2843|2846|2847|2849|2850|2851|2853|2858
1976's	2843
1977	2819|2820|2822|2825|2827|2828|2829|2830|2832|2834|2835|2836|2843|2844|2846|2847|2848|2850|2851|2853|2855|2858|2859
1977's	2829
1977-10-13	2822
1978	2814|2819|2824|2829|2830|2833|2834|2835|2836|2837|2840|2843|2846|2847|2848|2849|2850|2853|2858
1978AcCrA	2824
1979	2819|2820|2824|2828|2829|2831|2833|2834|2835|2836|2837|2840|2843|2844|2846|2847|2850|2851|2853|2858
1979's	2829|2846
1979-11-01	2840
1979-81	2840
198	2817
198-200	2857
1980	2814|2819|2822|2824|2828|2829|2831|2833|2834|2835|2837|2840|2842|2843|2844|2846|2847|2848|2849|2850|2851|2853|2854|2857|2858
1980-08-14	2858
1980-11-05	2858
1980Natur	2824
1980s	2814|2818|2819|2820|2826|2828|2829|2830|2831|2833|2834|2835|2838|2842|2843|2844|2846|2847|2848|2849|2850|2853|2854|2855|2858
1981	2819|2820|2822|2824|2828|2829|2833|2834|2835|2837|2842|2843|2844|2846|2847|2848|2850|2852|2853|2858|2859
19812404	2824
1982	2819|2820|2824|2828|2829|2833|2834|2835|2842|2843|2844|2845|2846|2847|2848|2850|2853|2858|2859
1982's	2847
1983	2819|2820|2824|2829|2833|2834|2835|2837|2841|2842|2843|2844|2846|2847|2849|2850|2851|2853|2855|2858
1983's	2829
1983-11-10	2858
1983JChPh	2824
1984	2814|2819|2824|2828|2829|2830|2832|2835|2837|2842|2843|2844|2847|2848|2849|2850|2851|2853|2855|2858
1985	2814|2819|2820|2824|2829|2830|2835|2837|2840|2842|2843|2844|2846|2849|2850|2853|2858
1985Natur	2824
1986	2814|2815|2819|2820|2823|2829|2831|2832|2834|2835|2842|2843|2844|2846|2847|2849|2850|2853|2858
1986's	2847
1986-10-25	2823
1987	2814|2818|2819|2820|2827|2828|2829|2831|2832|2835|2837|2839|2840|2842|2843|2844|2848|2850|2851|2853|2854|2855|2858
1987's	2829
1987-88	2829
19871359	2824
1988	2817|2819|2820|2824|2825|2829|2830|2833|2834|2835|2837|2842|2843|2844|2847|2849|2850|2851|2853|2857|2858
1988's	2845|2850
1988-12-04	2850
1989	2814|2818|2819|2824|2827|2829|2832|2833|2835|2837|2840|2842|2847|2848|2852|2853|2857|2858|2859
1989's	2847
1989-12-23	2837
1989-present	2818
19893342	2814
198963	2840
1989BpJ	2824
199	2825|2827|2832
1990	2814|2818|2819|2822|2828|2829|2830|2832|2833|2834|2835|2837|2843|2844|2847|2848|2849|2853|2858|2859
1990-present	2822
1990s	2814|2818|2819|2820|2822|2826|2828|2829|2830|2831|2833|2834|2835|2838|2839|2842|2843|2846|2847|2849|2850|2852|2855|2858
1991	2814|2818|2819|2820|2822|2824|2827|2828|2829|2830|2832|2835|2837|2843|2848|2850|2853|2858
1991-1994	2822
1992	2818|2819|2820|2822|2824|2827|2829|2831|2835|2837|2839|2843|2844|2847|2848|2849|2850|2852|2853|2855|2858|2859|2861
1992PNAS	2824
