'	2572|2573|2576
'40s	2579
'80s	2587
'89	2583
'97	2583
'Culture'	2572
'Cumbrian'	2576
'Cursed	2573
'Cybergoth'	2581
'Er	2576
'Forness	2576
'How	2576
'Im	2576
'L'Homme	2572
'Lauthala'	2573
'Nandi'	2573
'Open	2577
'Ows	2576
'Rusi	2573
'Schottegat'	2577
'Simmel	2572
'Social	2582
'Sounds	2576
'Sulu	2573
'Time	2582
'Travel	2574
'Ulfr's	2576
'Woman	2587
'Yan'	2576
'You	2576
'a	2576
'aparima	2573
'appen	2576
'ava	2573
'bad'	2576
'bard'	2576
'bay'	2576
'bear'	2576
'betrayal	2571
'bide'	2576
'bird's-nest	2580
'boat'	2576
'boo'	2576
'bud'	2576
'capitalist'	2571|2572
'crag	2576
'curriculum'	2571
'divn't	2576
'evil'	2574
'f	2573
'fail'	2576
'fear'	2576
'feel'	2576
'file'	2576
'fire'	2576
'fool'	2576
'fort'	2576
'freak	2581
'hill'	2576
'honey	2574
'house'	2576
'ist	2576
'mBa'	2573
'moor'	2576
'n'	2587
'oiled	2574
'oliday	2576
'one'	2576
'ote'a	2573
'ower	2576
'p	2573
'pleasure	2574
'political	2571
'power	2571
'received	2576
'regula	2573
'sheep	2576
'shimmering'	2576
'should	2576
'species'	2580|2586
'st	2573
'strangba	2576
'stream'	2576
'swan	2576
't'	2576
'th'	2576
'the'	2576
'to	2576
'upa'upa	2573
'valley	2576
'whut	2576
'yan-bumfit	2576
'yandick	2576
'ye	2576
'youji	2574
-	2568|2569|2570|2571|2572|2573|2574|2575|2576|2577|2578|2579|2580|2581|2582|2583|2584|2585|2586|2587
--	2571
-1	2583
-68	2577
-69	2577
-C	2583
-H	2570
-J	2583
-P	2583
-Pwo	2573
-fa	2572
-sow	2577
-y	2576
0	2570|2577|2582|2583|2584|2586
0-06-271543-7	2572
0-19-280632-7	2570
0-19-517665-0	2574
0-262-57086-6	2584
0-295-98713-8	2574
0-300-09447-7	2574
0-312-30696-2	2581
0-404-11918-2	2572
0-415-10723-7	2572
0-415-97246-9	2579
0-441-56956-0	2582
0-471-52229-5	2580
0-472-11315-1	2572
0-520-03656-5	2580
0-520-05913-1	2574
0-521-22415-2	2569
0-521-30631-0	2574
0-521-43519-6	2574
0-521-65191-3	2585
0-521-66991-X	2574
0-618-13384-4	2574
0-7007-0463-9	2574
0-7011-0763-4	2571
0-7294-0256-8	2585
0-7748-0645-1	2574
0-8020-5307-6	2580
0-8047-0720-0	2574
0-85199-826-7	2580
0-85965-365-X	2581
0-86622-634-6	2586
0-916422-74-7	2580
00	2570|2577|2586|2587
000	2572|2577|2580|2585|2586|2587
0000014062	2586
0000020598	2580
0019	2580
0022-5037	2585
004	2577
005	2580
006	2580
009	2583
01	2580|2583|2587
011009_antillen	2577
016	2583
0167-2789	2584
018	2584
019251219301400204	2570
01e01	2577
0211030	2583
0239	2580
03	2582|2584|2587
0304-3975	2583
031	2577
04	2582|2583|2587
04262008-playin	2587
05	2571|2572|2575|2577|2580
050328	2586
0507067	2584
05curacao	2577
06	2587
06nov2010-50-miljoen-schade	2577
07	2577|2579|2583|2587
07060660509507223	2580
0722	2586
0743-1066	2583
08	2577|2587
0836	2586
09	2576|2582|2587
09502380802245811	2571
097	2573
0wnq56dava5nnm17	2583
1	2568|2569|2570|2571|2572|2573|2574|2575|2576|2577|2578|2579|2580|2581|2582|2583|2584|2585|2586|2587
1-4051-3066-0	2580
1-883631-06-8	2569
10	2568|2569|2570|2571|2572|2573|2574|2576|2577|2578|2579|2580|2581|2582|2583|2584|2586|2587
10-10-2010	2577
10-18	2571
100	2570|2572|2573|2574|2577|2580|2585|2587
1000	2574
1000th	2587
1002	2574|2586
1006	2586
1007	2574|2580|2583|2584|2586
100m	2577
101	2570|2572|2580
1013	2574
10140	2587
1016	2580|2583|2584
1017	2586
1019	2574
1019861	2586
102	2572|2580|2584
102-109	2582
1020	2574
1021	2574|2580
1023	2580|2586
1026	2570
103	2572|2577
1031	2574
1037	2574
1038	2570
104	2572|2574
1043	2580
1045	2574
105	2572|2574|2580|2583|2584
1051	2574
1052	2574
105388	2577
1058	2586
106	2572|2574
1060	2574
1063	2574
107	2572|2574|2580
1070	2574
1072	2574
108	2572|2574|2584|2586
1080	2571|2574|2580
1084	2574
1085	2574
1086	2570|2574|2586
1088	2574
109	2572
1090	2574|2583
1092	2574
1095	2574
10th	2574|2576|2580
11	2570|2571|2572|2573|2574|2577|2579|2580|2581|2582|2583|2586|2587
110	2572|2580
1100	2574
1101	2574
1105	2574
1107	2574
11083940	2586
111	2572|2587
1110	2574
1111	2570|2574|2586
1112	2574
1117	2574
112	2572|2587
1125	2574
1126	2574
1127	2574
113	2572|2575
1130	2574
1135	2574
1137	2583
1139	2580
114	2572
1140	2574
1145	2569|2574|2582|2583
1147	2574
115	2572
1150	2574
1151	2574
116	2572|2580
1162	2574
116294553	2587
1163	2574
117	2572|2577|2580|2584
1173	2574
1174	2574
1176	2574
1176989705	2584
1177	2570
1178	2574
118	2572|2573
1182	2574
1189	2574
119	2572|2580
1193	2574
11th	2574|2576|2585
12	2570|2571|2572|2573|2574|2576|2577|2579|2580|2582|2583|2585|2586|2587
120	2572|2580|2585|2587
1200	2574
12052097	2569
1207	2574
121	2572|2586
1214	2584
122	2572
1224	2574
123	2572|2585
1230000038740	2576
1232	2574
1235	2580
1238	2574
124	2572
1240	2574
1244	2574
1246	2574|2577
1249	2586
125	2572|2586
1250	2574
126	2572|2586
127	2572|2574
1276	2574
1278	2572
1279	2574
128	2572|2574
1289	2572
129	2572|2574|2580|2586
1298	2574
12th	2574|2576
13	2568|2571|2572|2573|2574|2576|2577|2579|2580|2582|2583|2586|2587
130	2572|2574|2577
13076997	2587
131	2572|2574
132	2572
1320	2574
1325	2584
133	2572|2574|2586
1335	2584
134	2572|2574|2586
135	2572|2573|2574|2583
136	2572|2574
1367080	2569
1367082	2569
137	2572|2574|2585
138	2572|2574
1382	2572
139	2572
13th	2574|2583
14	2569|2570|2571|2572|2573|2574|2577|2579|2580|2582|2583|2586|2587
14-month	2572
14-year-old-fan	2587
140	2572|2574|2583
1401	2580
141	2572|2580
142	2572|2577
143	2572|2583|2587
1430140607	2586
144	2572
1446	2572
145	2572|2580
146	2572|2580
1469-1795	2586
147	2572|2580
148	2572|2574
1481095307	2576
149	2572|2577
1499	2577
149th	2577
15	2568|2569|2571|2572|2573|2574|2576|2577|2580|2581|2582|2583|2585|2586|2587
150	2572|2573|2580
151	2572|2580
15119855	2580
152	2572
1525	2577
1528	2584
153	2569|2572|2573
154	2572|2573|2574
1548	2584
155	2572|2573|2574
1558	2577
1559-1816	2570
156	2572
1562	2577
157	2572|2574|2580
158	2572|2574
159	2572|2580|2585|2586
15th	2574
16	2571|2572|2574|2577|2580|2582|2584|2585|2586|2587
16-month	2572
160	2572
1600	2574
1601	2580
1602	2577
1609_1_DEZ_Manual_binnenw	2577
161	2572|2573
1614	2577
162	2572|2574
1621	2577
16261367	2580
163	2572|2573|2574
1634	2577
1635	2577
1637	2583
164	2572|2586
1642	2577
165	2571|2572|2586
1651	2577
166	2572|2573|2586
1662	2577
1663	2583
167	2572|2583
1678	2577
168	2572|2574
1681	2576
1685	2586
169	2572|2574|2585|2586
16th	2572|2582
17	2571|2572|2574|2577|2578|2580|2582|2586|2587
170	2572|2587
1703	2577|2585
1704	2585
1706	2586
1708	2585
17094008	2580
171	2572|2577|2585
172	2572|2586
1724	2572
1725	2585
1728	2585
173	2572|2586
1732	2577
1738	2585
1739	2585
173919	2586
174	2572
1740	2585
17414186	2579
1742	2585
1744	2572|2585
1748	2585
1749	2585
175	2572
1750	2585
1751	2569|2585
17511503	2580
1752	2585
1753	2585
176	2572|2583
1767	2572
1768	2580
177	2572|2574
1770	2572
1778	2585
177th	2577
178	2572
1780-1950	2571
1784	2580
1787	2580
1788	2585
17883030	2580
179	2572
1790	2580
1792	2577
1795	2572|2577
1797	2577
1798	2569|2577
17th	2572|2577
18	2571|2572|2574|2577|2579|2580|2582|2586|2587
18-month	2572
18-month-old	2572
180	2570|2572|2577
1800s	2573
1803	2572
1804	2572
18083129	2580
1809	2577
181	2572
1815	2577
182	2572
1820	2572
1822	2572
1825	2577
1826	2572
1828	2577
183	2569|2570|2572|2574|2577
1831	2586
1832	2572
1835	2572
1836	2577
184	2572|2574|2583|2584
1840	2572|2573
1842	2580
1844	2580
1848	2570
185	2572|2574|2577|2580
18506632	2580
1853	2577
1854	2573
18565749	2580
1858	2572
186	2572|2574
1860	2572|2573
1862	2573
1863	2577
1867	2576
1869	2572|2573
1870	2572
1871	2572|2573
1872	2577
1874	2572
1876	2572
188	2572|2587
1881	2572
1882	2572
1882692	2570
1883	2572
1884	2569|2572
1887	2572
1888	2572
189	2572
1892	2576
1896	2572
1899	2572
18th	2572|2577|2579
18th-century	2572
19	2572|2573|2574|2577|2579|2580|2582|2584|2586|2587
190	2577
1900	2570
1901	2572
1902	2572|2580
1903	2572
1905	2572|2577
1906	2572|2580
1907	2572
1909	2572
1911	2572|2585
1912	2572
1913	2572
1914	2577
1916	2572
1917	2572|2577|2580
192	2577
1920	2572
1920s	2571|2572
1921	2572|2573
1922	2572
1924	2580
1927	2580
1928	2572
1929	2572|2579
1929-06-14	2579
193	2570|2572
1930	2572
1930s	2572|2579
1931	2569
1932	2572|2585
1934	2572
1935	2569|2572
1936	2570|2572
1937	2572
1938	2572|2573
1939	2572
194	2585
1940	2572
1940s	2572|2577
1941	2572
1942	2572|2577|2580
1943	2572
1944	2572
1945	2573|2574|2577
1946	2572|2586
1947	2579
1948	2572|2580|2582
1949	2572
1950	2570
1950s	2571|2572|2587
1951	2572|2580
1952	2572
