'	3528|3531|3532|3542|3545
'''	3545
'''Obama	3545
'03	3542
'4'	3529
'5'	3529
'6'	3529
'70s	3543
'80s	3543
'90	3539
'90s	3531
'Als'	3529
'B'Day'	3542
'B-Day'	3542
'Bamboo'	3541
'Caucasus	3528
'Early	3535
'Feels	3542
'Get	3540|3542
'Hollaback	3542
'Hood'	3531
'Hover	3535
'ISO	3529
'If	3543
'Irreemplazable'	3542
'Keeping	3531
'Langvokalische	3535
'Let's	3542
'Low	3529
'Move	3542
'Nordic	3536
'Now	3531
'Oriental	3531
'Patruli'	3528
'Plotting	3528
'Positive	3545
'S	3535
'The	3545
'als'	3529
'avatar'	3533
'bagms'	3535
'bat'	3529
'be-tarask'	3529
'be-x-old'	3529
'bear'	3532
'bears	3532
'beech'	3535
'books'	3532
'cbk'	3529
'chain'	3532
'cities'	3532
'compartment'	3532
'cover	3544
'cultural	3531
'dance-in'	3542
'den'	3532
'denn'	3532
'dialects'	3535
'dissing'	3531
'do'	3538
'foot'	3532
'gate'	3532
'gct'	3529
'gsw'	3529
'guest	3531
'has'	3532
'he'	3532
'heimwee'	3535
'http	3531
'kitchen'	3532
'laugh	3532
'letter'	3535
'long'	3537
'lzh'	3529
'manner	3532
'map'	3529
'min'	3529
'moon'	3532
'n	3546
'nan'	3529
'nationalism'	3531
'nb'	3529
'nn'	3529
'nno'	3529
'nob'	3529
'potato'	3535
'puddle'	3532
'recontextualization'	3531
'roa'	3529
'rup'	3529
's	3527|3542
'search'	3532
'security	3528
'sgs'	3529
'short'	3532|3537
'smg'	3529
'snake'	3535
'sources'	3535
'spike	3532
'sq'	3529
'ss'	3532
'swg'	3529
't	3538
'to	3538
'vro'	3529
'wae'	3529
'we'	3532
'wholeness'	3532
'words'	3532
'would	3532
'ylgr'	3535
'yue'	3529
-	3527|3528|3529|3530|3531|3532|3533|3534|3535|3536|3537|3538|3539|3540|3541|3542|3543|3544|3545|3546
--	3535|3537|3538
-0	3545
-3	3529
-50	3536
-70	3536
-85	3545
-Beyonc	3542
-C	3535
-C-	3535
-German	3539
-Language	3545
-Peterburg	3528
-TABLE_NAMEX	3532
-V-ng-8jOoQC	3539
-WJtOUYT0WYC	3542
-_lang	3532
-a	3535
-a-	3538
-aR-	3537
-ai-	3537|3538
-an	3535|3537
-anh-	3537
-ar	3535
-au-	3537
-ba-	3536
-bagms	3535
-bound	3539
-can	3538
-ccan	3538
-charIterations	3532
-chen	3532
-ci_type	3532
-ck	3538
-d-	3538
-da	3538
-daz	3538
-de	3538
-dedu	3538
-dedum	3538
-dedun	3538
-den	3538
-des	3538
-dm	3532
-ds_name	3532
-e	3532|3535|3538
-e-	3538
-ed	3535|3537|3538
-eln	3538
-em	3535
-en	3532|3535|3537|3538
-ens	3532
-er	3532|3535
-ern	3538
-es	3532|3535
-est	3538
-et	3538
-f	3532|3535
-fa	3528|3532|3539
-ff-	3535
-format	3532
-g-	3538
-geo_id	3532
-gh-	3538
-h	3535
-h-	3535|3538
-hood	3532
-i	3535|3538
-i-	3538
-iad	3538
-ian	3535|3538
-ie	3538
-ie-	3537
-ies	3538
-is	3535
-ism	3532
-iy	3528
-j	3535|3538
-j-	3535|3538
-ja-	3538
-jan	3538
-je	3538
-jen	3538
-k	3535|3538
-k-	3535|3538
-ll	3538
-ll-	3538
-n	3532|3537|3538
-n-	3536|3537|3538
-nan	3538
-ns	3532
-o-	3538
-om	3535
-on	3535
-p	3538
-pf	3538
-present	3537
-presents	3537
-qr_name	3532
-r	3538
-r-	3535
-redoLog	3532
-reg	3532
-related	3528
-rived	3532
-s	3532|3535
-ship	3532
-ss-	3535
-stem	3535
-stems	3535
-t	3535|3537|3538
-t-	3538
-ten	3538
-threshold	3528
-tos	3538
-tz	3538
-u-	3538
-um	3538
-un	3538
-v-	3535
-x	3535
-xx-	3535
-y	3538
-year	3545
-z-	3535
-zz	3538
0	3528|3529|3532|3533|3539|3542|3543|3544|3545
0'Elflein	3531
0-12-728270-X	3538
0-19-504458-4	3536
0-19-815850-5	3532
0-19-826573-5	3528
0-19-860678-8	3539
0-19-869164-5	3527
0-19-927399-5	3532
0-19-955229-0	3538
0-312-22990-9	3528
0-333-23111-2	3527
0-333-65807-8	3536
0-460-04546-6	3527
0-472-08452-6	3528
0-520-05259-5	3536
0-520-08511-6	3536
0-520-21719-5	3527
0-521-30199-8	3539
0-521-39897-5	3527
0-521-49970-4	3532
0-575-05380-1	3527
0-631-16397-2	3536
0-631-19814-8	3535
0-674-80688-3	3539
0-691-11481-1	3536
0-7922-3662-9	3532
0-7922-7976-X	3532
