'	3810|3814|3818|3821|3824|3825
''The	3821
'02	3808
'80s	3810
'87	3810
'87-'93	3810
'88	3812
'89	3812
'90	3812
'91	3812
'93	3810
'97	3812
'Austinpussy'	3821
'Bomb'	3818
'Bonafide'	3812
'Chinese	3810
'Don't	3821
'E	3821
'Elvis	3825
'Elvising'	3825
'Entry'	3825
'Fe	3812
'Flipping	3811
'Frozen	3811
'Glee'	3821
'Golden	3813
'H'	3824
'Haitch'	3824
'Hungarian'	3824
'I	3810|3818
'I'll	3818
'I've	3818
'If	3810
'Infinity	3811
'Iron	3821
'Just	3818
'L'Inferno'	3814
'Les	3814
'N'	3810|3812
'No	3825
'Perfect	3821
'Personal	3825
'Pisa	3825
'Pleasures	3821
'Pliny'	3825
'Rhiad	3810
'Rock	3818
'Round	3815
'Ryan'	3821
'Shakespeare'	3821
'Stefani	3818
'The	3813|3825
'Thing'	3825
'This	3821
'Ticket's	3810
'Travailleurs	3814
'Whoa	3821
'Working	3810
'aitch'	3824
'bias'	3808
'blames'	3808
'box'	3824
'ch'	3824
'chops'	3810
'constituted	3817
'cultural	3825
'doesn't	3821
'door'	3824
'eitch'	3824
'gh'	3824
'h'	3824
'haitch'	3824
'heighten'	3824
'how	3810
'last	3825
'lh'	3824
'n'	3810
'nh'	3824
'nourish	3821
'obsession	3818
'ph'	3824
'rescued'	3825
'rh'	3824
's	3814|3818
'sh'	3824
'sister'	3825
'son'	3824
'species'	3822|3823
'technical	3810
'th'	3824
'the	3824|3825
'theater'	3824
'they	3824
'this	3810
'this'	3824
'throne'	3824
'to	3824
'u'	3824
'v'	3824
'wh'	3824
'x'	3824
'year'	3824
-	3807|3808|3809|3810|3811|3812|3813|3814|3815|3816|3817|3818|3819|3820|3821|3822|3823|3824|3825|3826
-0	3820
-58	3817
-Chops	3818
-D	3822
-fa	3817
-in	3815
-sienien	3823
0	3808|3810|3813|3817|3818|3820|3821|3822|3823
0-02-865849-3	3808
0-14-063005-8	3823
0-19-910207-4	3823
0-304-52257-0	3823
0-307-26564-1	3813
0-394-74478-0	3813
0-584-10324-7	3823
0-697-04866-7	3823
0-7119-9810-8	3816
0-7167-2600-9	3823
0-7234-1576-5	3823
0-7535-0242-9	3812
0-7817-2845-2	3823
0-8018-5730-9	3814
0-8076-0806-8	3813
0-8166-1407-5	3823
0-87930-655-6	3812
0-89815-169-4	3823
0-918825-19-9	3813
00	3808|3810|3816|3817|3818|3821|3826
000	3810|3813|3814|3817|3818|3821
000-seat	3817
0000153531	3823
000505	3823
00238-1	3823
0041-0101	3823
0048	3824
00498258009033790	3823
0068	3824
01	3808|3810|3817|3818|3821|3823|3825
010	3817
017	3817
02	3808|3813|3818|3821|3823
027	3825
029	3817
03	3808|3810|3818|3819|3821|3823
0300-483X	3823
0306-9877	3823
032204	3818
039	3817
04	3813|3817|3818|3821|3823
040179	3823
042	3817
0446557315	3821
04778	3808
05	3810|3818|3825
051	3817
06	3810|3813|3818|3823
061	3817
07	3810|3813|3816|3817|3818|3821|3823
071	3817
073	3817
077	3817
07910764155	3809
08	3810|3813|3818|3821
081	3817
082	3817
09	3808|3810|3813|3815|3818|3820|3821|3824|3825|3826
095	3817
097	3817
0catch	3810
1	3807|3808|3809|3810|3811|3812|3813|3814|3815|3816|3817|3818|3819|3820|3821|3822|3823|3824|3825|3826
1-58008-450-8	3823
1-84353-329-4	3812
1-84461-185-X	3813
1-904994-10-5	3811
10	3808|3810|3811|3813|3814|3815|3816|3817|3818|3819|3820|3821|3822|3823|3825
10-year	3808
100	3807|3808|3810|3811|3813|3814|3815|3817|3818|3820|3821
100-greatest-singers-of-all-time-19691231	3810
100-year	3820
1001	3823
1002	3823
1003872663	3810
1007	3822|3823
101	3818
10150928055678222	3810
1016	3823
1019	3819
102	3818
1021	3823
1023News	3821
103	3813|3814|3817|3818|3823
1039500p1	3818
104	3813|3818|3823|3824
10432566	3818
1045-6295	3807
105	3818
1056	3823
1057	3823
106	3818
107	3818
107th	3817
108	3810|3818
109	3818|3823
1097	3823
10grammylist	3818
11	3808|3810|3811|3813|3814|3816|3817|3818|3819|3820|3821|3822|3823|3824|3825
110	3810|3813|3817|3818|3822
111	3810|3813|3818
1111	3823
112	3813|3817|3818|3823
114	3823
1142645	3818
1146	3823
1147	3817
1148524919261	3818
115	3817
116	3817
11600	3823
117	3823
117030333	3821
11740	3817
1175007	3821
1180A1D6AD835248	3821
119	3824
11th	3810
12	3807|3808|3810|3811|3812|3813|3814|3816|3817|3818|3819|3820|3821|3822|3823|3825
12'	3812
120	3814|3817|3820
1204	3822
121	3823
122	3820|3823
123	3814|3817|3820|3825
1238907	3823
124	3820
125	3818
1257829	3817
12583920	3808
12640869	3818
127	3823
128	3813|3823
12811225	3818
129	3817
12902	3821
12mo	3814
13	3807|3808|3810|3811|3812|3813|3814|3815|3817|3818|3819|3820|3821|3822|3823|3824|3825
131	3817
13303376	3821
135	3813
136	3823|3824
138	3814
13GOTH	3818
14	3808|3810|3811|3813|3814|3815|3816|3817|3818|3820|3821|3822|3823|3825
140	3823
141	3814
142918	3825
143	3810
145	3810|3817
14505933	3823
147720	3810
1485069	3818
1489796	3808
1493633	3818
1494427	3818
1498	3817
14th	3821
15	3807|3808|3810|3811|3813|3814|3815|3817|3818|3820|3821|3822|3823|3825|3826
150	3813|3814
1504440	3818
150th	3813
1513	3823
1519189	3818
1531578	3818
1542172	3816
155	3820|3823
1559020	3808
1559231	3823
1562569	3818
1564580	3818
15699849	3823
157	3814|3817
157312	3810
158	3820
15808339	3810
1593321	3818
16	3808|3810|3811|3813|3814|3815|3817|3818|3819|3821|3822|3823|3825
16-month-long	3810
161	3813
1616	3817
161st	3817
1620	3820
1620Coordinates	3820
1627	3817
163	3820
165	3814
166	3823
1667	3817
167	3817
16711	3821
168	3817
1695582	3821
16mo	3814
17	3808|3810|3811|3813|3814|3815|3816|3817|3818|3819|3821|3823|3825|3826
1719	3823
17391587	3823
174	3814
174142	3821
1745-4565	3823
1749-6632	3823
1752	3817
1763	3817
1764	3817
177	3814|3823
1778462	3810
18	3808|3810|3811|3813|3814|3815|3816|3817|3818|3819|3821|3822|3823|3825
180	3814
1800	3823
1800018601	3821
1808	3814
1811	3814
1814	3817
1820s	3820
1824	3817
1826	3826
183	3814
1830	3820
1831	3817
1832	3814
1832-01-06	3814
1833	3820
1834	3817
1840	3817
1845	3814|3820
1847	3814
1849	3823
1850	3814
1850s	3820
1853	3814
1854	3814
1855	3814
1856	3814
1857	3814
1860	3814
1860911	3810
