'	1178|1183|1184|1185|1188|1190|1197|1198|1205|1211|1213|1222|1226
0-17-141011-4	1197
0-19-281273-4	1200
0-19-285129-2	1201
0-19-517825-4	1203
0-19-820192-3	1199
0-19-822234-3	1199
0-19-860641-9	1203
0-19-920013-0	1199
0-2	1180
0-226-56141-0	1203
0-226-71853-0	1203
0-231-70050-4	1203
0-285-63303-1	1225
0-289-79804-3	1199
0-297-78245-2	1197
0-300-03126-2	1201
0-300-05536-6	1222
0-300-09639-9	1200|1201
0-300-10442-1	1199
0-306-81397-1	1183
0-312-53380-2	1183
0-313-31850-6	1197
0-313-33158-8	1202
0-316-03885-7	1183
0-333-22037-4	1200
0-333-48614-5	1200|1201
0-354-04529-6	1197
0-375-50559-8	1183
0-394-22300-4	1192
0-415-04755-2	1205
0-415-94333-7	1213
0-415-96928-X	1183
0-465-03657-0	1184
0-517-50188-0	1184
0-517-58929-X	1183
0-521-61637-9	1203
0-521-63751-1	1205
0-553-09673-7	1184
0-671-86898-5	1183
0-684-18456-7	1183
0-7007-1698-X	1187
0-7091-8361-5	1199
0-7112-1187-6	1197
0-7134-3229-2	1179
0-7148-2458-5	1200
0-7153-4394-7	1199
0-7153-5726-3	1199
0-7181-4089-3	1197
0-7188-0803-7	1197
0-7190-6094-X	1203
0-7506-4231-9	1185
0-7509-1283-9	1197
0-7509-2021-1	1199
0-7524-3213-3	1199
0-7535-0242-9	1196|1202
0-7566-4119-5	1184
0-8018-7450-5	1184
0-8118-4232-0	1184
0-8118-5348-9	1183
0-8153-4058-3	1205
0-8195-6761-2	1183
0-8212-2076-4	1184
0-8230-7919-8	1184
0-8230-8387-X	1183
0-8264-1343-9	1184
0-8476-7826-1	1184
0-8478-1940-X	1179
0-85115-923-0	1203
0-85117-064-1	1203
0-85170-276-7	1184
0-85372-086-X	1197
0-85409-512-8	1199
0-86299-560-4	1179
0-87833-659-1	1184
0-87930-655-6	1196|1202
0-901571-88-1	1199
0-903481-05-7	1179
0-909114-01-3	1213
0-922915-69-5	1194
0-9502164-0-2	1200
0-9504648-2-1	1199
0-9534474-3-X	1180
00	1180|1183|1184|1188|1192|1203|1214|1220
000	1178|1179|1180|1183|1184|1185|1187|1188|1189|1192|1193|1195|1197|1198|1199|1200|1201|1202|1203|1205|1206|1208|1210|1211|1222|1223|1226
000-square-foot	1210
000-strong	1203
0000000069-Middlesex-Regiment-Collection	1179
000001	1203
0006	1203
0007-7135	1222
000th	1206
001	1203
001199809	1178
00191	1203
00243019	1226
003	1183
0039	1203
005	1198|1203
005255245	1178
006	1189
007	1198|1210
008	1189
00931896	1184
01	1183|1187|1192|1193|1198|1202|1203|1207|1212|1226
011	1210
016	1200
0194-7869	1184
0195374924	1203
01pare	1183
02	1180|1183|1184|1187|1189|1190|1192|1193|1196|1198|1202|1203|1210|1212|1214|1219
0208_23	1199
020904-Grant-FC2	1184
025	1189|1198
02660784	1214
029	1198
03	1183|1184|1187|1188|1190|1192|1193|1197|1199|1200|1203|1210|1216|1220
03-01-1829	1179
03-march	1203
0300	1205
0308-5562	1200
031	1193
0313319499	1203
0316051608	1226
038	1210
04	1179|1180|1183|1187|1188|1192|1193|1197|1198|1199|1203|1205|1210|1212|1213|1222
040	1200
0417	1183
043	1189
047	1189
04_SB8K8xLLM9MSSzPy8xBz9CP0os3izECfXQHMPIwODQFMTAyMXFwNnFydvYwN3I6B8pFm8AQ7gaEBAdzjIPtwqDAwg8njM9_PIz03VL8iNMMgycVQEANg5rCU	1189
05	1178|1183|1184|1188|1193|1203|1210|1212|1218|1220
050	1185|1199|1200|1210
050718024904	1178
0521273234	1203
05Year_End	1184
05iht-bulgaria	1203
06	1178|1183|1184|1186|1187|1188|1190|1192|1193|1197|1198|1202|1203|1208|1210|1212|1222|1226
06-08954	1210
06076-89600-2	1209
0628673	1183
063-acre	1210
06_shadow_economy	1203
06mars	1188
07	1180|1183|1185|1187|1190|1193|1198|1203|1210|1212|1220|1223|1225|1226
073	1185
0743257510	1226
07458	1219
075	1185
075354	1179
076	1198
07806	1213
08	1183|1184|1187|1188|1190|1193|1196|1197|1198|1203|1205|1210|1211|1225
080	1187|1200|1210
080611-incredible-hulk	1178
0809	1210
0815303998	1203
083	1189
088	1189
089	1198
0896801934	1187
09	1179|1183|1184|1187|1188|1190|1195|1200|1203|1210|1219|1222|1224
09137	1183
092	1187
0933	1207
095	1198
096	1206
0973345	1198
098	1210
0A5wAAAAMAAJ	1187
0CC8Q6AEwAA	1195|1203
0CDMQ6AEwAg	1183
0CDYQ6AEwAQ	1203
0CEEQ6AEwAw	1203
0CEYQ6AEwBg	1195
0CEoQ6AEwBw	1203
0c4aAAAAYAAJ	1189
0history	1198
1	1178|1179|1180|1181|1182|1183|1184|1185|1186|1187|1188|1189|1190|1191|1192|1193|1194|1195|1196|1197|1198|1199|1200|1201|1202|1203|1205|1206|1207|1208|1209|1210|1211|1212|1213|1214|1215|1216|1217|1218|1219|1220|1221|1222|1223|1225|1226
1-0	1189
1-56389-099-2	1184
1-57607-941-4	1203
1-57859-151-1	1183
1-57859-157-0	1183
1-58234-509-0	1183
1-59474-023-2	1184
1-59942-983-7	1203
1-84353-329-4	1202
1-84411-004-4	1184
1-84449-403-9	1183
1-85065-534-0	1205
1-85065-663-0	1205
1-85109-440-7	1203
1-85152-194-1	1179
1-85286-077-4	1184
1-85302-485-6	1203
1-85743-557-5	1203
1-899890-26-2	1179
1-900178-54-0	1199
1-902163-36-2	1197
1-904474-32-2	1179
1-hour	1226
1-year	1203
10	1178|1179|1180|1181|1183|1184|1185|1187|1188|1189|1190|1191|1192|1193|1195|1197|1198|1199|1200|1201|1202|1203|1205|1206|1207|1208|1209|1210|1211|1212|1213|1214|1216|1217|1218|1219|1220|1222|1223|1226
10-minute	1185
10-night	1183
10-questions-for-bruno-mars	1188
10-show	1183
10-year	1210
100	1178|1180|1183|1184|1187|1188|1189|1191|1192|1194|1195|1198|1199|1200|1201|1203|1204|1206|1207|1208|1210|1211|1212|1213|1216|1218|1220|1222
100-home	1210
100-seat	1200
1000	1183|1184|1189|1203
10000	1226
100038036	1183
1001	1210
1002987-2	1183
1003787034	1192
100k	1210
100th	1193
101	1178|1183|1184|1187|1189|1195|1198|1199|1200|1203|1205|1210
1010	1185
1012	1185
1014	1203
1015	1203
1017	1187|1214
1018	1203
102	1178|1183|1184|1187|1198|1200|1203|1210|1212|1213
102289	1189
102524-2011	1190
1027	1213
1027936_bulgarian-tourism-gets-42m-leva-boost	1203
1028	1218
10280	1188
103	1178|1183|1184|1187|1195|1198|1200|1203|1210
103-acre	1210
103-metre	1189
1037	1185
1038	1226
104	1178|1183|1184|1187|1198|1199|1200|1203|1210
1046	1185
1048916	1188
1049	1185
105	1178|1183|1184|1187|1198|1200|1203|1210
1050	1185
1052	1185
1054629	1188
10592	1203
105th	1203
105th-largest	1203
106	1178|1183|1184|1187|1198|1200|1203|1210
106070953757230	1184
106096	1189
1061402	1203
106682	1203
106th	1217
107	1178|1183|1184|1187|1189|1198|1200|1203|1210
107193	1183
1072	1185
107841186	1205
108	1178|1183|1184|1187|1197|1198|1200|1203|1210|1213
1080	1185
1084	1185
108474	1223
1085	1185
1086	1184
1089	1185
109	1178|1183|1184|1198|1200|1203|1210|1213
1093033-388	1188
10961	1192
1097905494	1203
10A84A59-BDCA-410A-9227-B24A71AD1BC3	1179
10_DP	1210
10d	1200
10k	1210
10k-25k	1210
10pm	1210
10rankings	1222
10s	1200
10th	1183|1198|1203|1205|1214|1226
10th-century	1189
11	1178|1179|1180|1181|1183|1184|1185|1187|1188|1189|1190|1192|1193|1194|1197|1198|1199|1200|1201|1202|1203|1204|1205|1209|1210|1211|1212|1213|1216|1217|1218|1220|1222|1226
11-12	1205
11-country	1192
11-day	1192
11-year	1183
110	1178|1180|1183|1184|1189|1198|1200|1203|1210|1213
110368892	1226
1105	1210
110M	1190
111	1178|1183|1184|1198|1200|1203|1210|1213
1112462496	1203
1116	1185
11176	1181
112	1178|1183|1184|1198|1200|1203|1210
11237	1222
1124175_bulgaria-cheapest-holiday-destination	1203
11275	1213
1128	1185
1129	1199
112_news050218_ev1vigil	1210
113	1178|1183|1184|1187|1189|1198|1200|1203|1210|1217
1130314565347	1218
1134	1185
1138	1199
114	1178|1183|1184|1187|1189|1198|1200|1203
1140	1199
1141	1199
114116	1203
1141389_bulgarias-ore-exports-rise-10per-cent-in-h1-2011-industry-group	1203
11455	1215
115	1178|1183|1184|1198|1200|1203|1210|1214
1150-6306	1192
1152	1203
11541596	1203
115678	1226
1157	1210
116	1178|1183|1184|1185|1198|1200|1203|1205|1210
1161236_bulgaria-ranks-third-in-global-internet-speed-survey	1203
1166590833692--EN	1189
1166590837731	1189
117	1178|1183|1184|1185|1198|1200|1203|1210
117439	1203
117822	1203
117950	1203
118	1178|1183|1184|1198|1200|1203|1210|1214|1223
1183	1189
1184	1189
1185	1203
1186	1181
118752286	1183
119	1178|1183|1184|1189|1198|1200|1203
1192360_president-elect-plevnelievs-final-margin-of-victory-closer-than-predicted	1203
119794780	1203
11d	1200
11th	1185|1199|1203|1205
12	1178|1179|1180|1181|1182|1183|1184|1185|1187|1188|1189|1190|1191|1192|1193|1197|1198|1199|1200|1201|1202|1203|1205|1210|1211|1212|1213|1214|1216|1217|1218|1220|1222|1225|1226
12-12-12	1183
12-12-12-the-concert-for-sandy-relief	1183
12-Minute	1183
12-issue	1184
12-year	1178
120	1178|1183|1184|1197|1198|1200|1201|1203|1210|1213
120'	1197
12000	1193
12011668143572	1192
1206	1189
120730fa_fact_remnick	1183
120M	1183
121	1178|1183|1184|1193|1198|1200|1201|1203
121248	1203
1217	1220
1218	1203
1219	1180
122	1178|1183|1184|1185|1189|1197|1198|1200|1203|1205|1213
1220	1199
1221	1180
122395	1203
1224281	1181
1225	1187
1226	1185
123	1178|1183|1184|1198|1200|1203|1213
1230064	1203
124	1178|1183|1184|1198|1200|1203|1213
1240	1203
1241	1203
125	1178|1184|1198|1200|1203|1210
1257	1203
125840	1203
126	1184|1198|1200|1203
1264	1200
1268	1210
127	1184|1198|1200|1203|1212|1220
127497	1203
1277	1185
128	1178|1184|1198|1200|1203|1210|1213
1280	1185|1187|1203
128889	1203
129	1184|1187|1198|1200|1203|1213
1297	1225
129794	1203
12bruce	1183
12s	1200
12th	1185|1195|1199|1205
12th-largest	1203
13	1178|1179|1180|1181|1182|1183|1184|1185|1187|1188|1189|1190|1192|1193|1194|1197|1198|1199|1200|1201|1202|1203|1205|1210|1211|1212|1213|1216|1218|1220|1222|1225|1226
130	1184|1187|1198|1200|1203|1210|1211
130-million	1210
130120	1198
1302	1185
13030	1210
130431	1203
1306	1179
130835	1203
1309	1185
131	1184|1187|1200|1203|1213
1312	1199
1314	1185
132	1184|1198|1200|1203|1213
1325	1225
132606	1203
132826	1203
132876	1210
133	1184|1189|1200|1203|1212|1213
134	1184|1192|1198|1200|1203|1210
13441098X	1181
134th	1187
135	1184|1187|1198|1200|1203
1350-1750	1185
1351908	1197
135492	1203
135531	1203
1356	1189
13575960-452	1183
1359	1213
136	1184|1189|1198|1200|1203
1360	1203
136420	1203
1369	1187
137	1184|1189|1197|1200|1203
1371	1187
137th	1178
138	1184|1185|1187|1189|1197|1200|1203
1383	1189
1386	1178
138799	1203
138920	1203
139	1184|1200|1203
1390	1185
1393	1203
1396	1203
139th	1203
13d	1200
13s	1200
13th	1179|1185|1189|1199|1200
13th-century	1185|1205
14	1178|1179|1180|1181|1183|1184|1185|1187|1188|1189|1190|1192|1193|1195|1197|1198|1199|1200|1201|1202|1203|1205|1206|1210|1211|1212|1213|1217|1218|1221|1222|1223|1226
140	1178|1184|1185|1200|1203|1210|1211|1222
1405	1210
141	1184|1200|1203
1415	1213
141560630	1188
142	1179|1184|1197|1200|1203|1210
1420	1199
1420209957	1187
143	1184|1185|1189|1200|1203
1433	1211
1433004445	1187
144	1178|1184|1200|1201|1203
144010	1203
144415	1206
14477	1203
14477-h	1203
144913	1199
144922	1199
145	1184|1189|1198|1200|1203|1213
145-6	1186
1450	1200
14507	1213
1455	1210
14551	1213
1459	1213
146	1184|1200|1203
146179-bruce-springsteen-adds-acoustic-obama-shows	1183
1463-9505	1200
147	1179|1184|1200|1203|1210|1213
1478	1185
1478248	1183
148	1181|1184|1186|1200|1203
1480	1203
149	1178|1184|1200|1203|1210
1490-1562	1185
1491905	1203
14s	1200
14th	1185|1187|1192|1199|1203
14th-greatest	1178
14th-largest	1203
15	1178|1179|1180|1181|1182|1183|1184|1185|1186|1187|1188|1189|1190|1191|1192|1193|1194|1195|1197|1198|1199|1200|1201|1202|1203|1205|1207|1209|1210|1211|1212|1213|1214|1217|1218|1222|1223|1226
15-part	1184
15-show	1183
15-year-old	1192
150	1184|1187|1197|1198|1200|1201|1203|1208|1210
1500	1185|1187
1506	1185|1189
151	1178|1184|1186|1200|1203
1512	1210
1512-detained-hip-hop-singer-yan-yan-chan-released	1215
1514	1179
1515	1203
1516	1179|1189
1519	1189
152	1184|1200|1203
1521	1187
15295	1178
153	1183|1184|1200|1201|1203
1530	1179
1531	1197
15349131	1190
1536	1197
154	1184|1198|1200|1203
1545	1185|1200
1548	1185
155	1184|1198|1200|1203|1210
155-Vreemde-afkomst	1189
15534	1188
1555	1189
156	1184|1187|1200|1203|1213
1563	1185
1566	1203
1568	1226
157	1184|1200|1203
1571	1200
1572	1200
1574	1199|1200
1578	1187|1200
158	1178|1184|1185|1200|1201|1203
1580	1199|1200
1586	1200
159	1184|1187|1189|1197|1200|1203
159-165	1217
1590	1200
1598	1203
15M	1201
15s	1200
15th	1179|1185|1187|1189|1198|1199|1200|1205|1210|1211
16	1178|1179|1180|1181|1182|1183|1184|1185|1187|1188|1189|1190|1192|1193|1194|1197|1198|1199|1200|1201|1202|1203|1205|1208|1210|1211|1212|1213|1216|1217|1218|1220|1222|1223|1226
16-bed	1210
16-year-old	1183
160	1179|1185|1197|1200|1203|1210
1600000US0608954	1210
1601	1179|1225
1602516	1183
1603	1200
1604738	1183
1606	1179
161	1184|1185|1187|1189|1198|1200|1203
1610	1179
1611	1179
1613	1200
1615	1199
1616	1179
1617	1178
1619	1179
162	1200|1201|1203
1620	1185|1200
1620s	1200
1621	1200
1624	1197|1200
1625	1179
1628	1200
163	1200|1203
1630	1179|1199|1200
1630-85	1185
1630s	1200
1631	1200
1633	1197|1200
163361648	1203
1634	1200
1635	1179
1636	1200
1637	1200
1638	1200
164	1200|1203
1640	1197|1200
1641	1185|1200
1643751	1188
1645	1199
164630	1210
1647679	1188
1648	1200
1649	1197
165	1200|1203
1650s	1185
1651-6826	1178
1652	1199
1652677	1210
1654	1200
1656	1199
166	1185|1187|1198|1200|1201|1203
1660	1187|1200
1661	1179|1200
166115	1198
1662	1200
1666	1199
1667	1179
1668	1179
1669	1199
167	1178|1181|1187|1200|1201|1203|1205|1210|1213
1670	1200
1670-1730	1203
1673	1187|1200
1674	1197
1675	1200
1676	1200
1678	1200
1679	1200
168	1193|1200|1201|1203
1680	1179
1681	1203
1683	1200
1684	1179
1686	1200|1203
1687696	1188
1688	1200|1203
1689	1203
169	1184|1200|1201|1203
1691	1200
1692	1179
1693	1200
16933	1210
1694	1179
1695	1189|1200
1698	1198
1699	1203
16th	1179|1186|1187|1189|1199|1205
16th-century	1179
17	1178|1179|1180|1181|1183|1184|1185|1186|1187|1188|1189|1190|1192|1193|1194|1195|1197|1198|1199|1200|1201|1202|1203|1205|1206|1210|1211|1212|1213|1215|1218|1222|1223|1226
17's	1193
17-story	1198
170	1192|1200|1201|1203|1210
1700	1185|1200
17004384	1187
1702	1197
1703	1197
1704	1210
1705	1197
1706compandebts	1203
17075218	1212
1708	1179
171	1201|1203
1710	1197
1712	1200
1713	1199|1210
172	1198|1200|1203|1222
1720	1199
1727	1200
1727505	1210
172nd	1187
173	1200|1201|1203
1731	1189
1732	1199
1733	1200
17337138	1199
1733748_1733752_1735322	1183
173378	1192
1735	1200
1736	1200
174	1187|1201|1203
1740	1200
1741	1199|1200
1742	1179|1200
1744	1199
1745	1179
1746	1189
1747-678X	1203
174837	1192
1749	1179|1199
17499129	1212
175	1201|1203|1210
1753	1198
1756	1200|1225
1757	1200
1759	1198
175th	1187
176	1197|1203
1760	1197|1198|1199
1761	1197
1762	1197|1199
1763	1200
1764	1179
1765	1200
1766	1199|1200
1768	1200
1769	1200
177	1197|1200|1201|1203|1205|1210
1770	1205
1772	1179
1774	1199
1774131	1183
17748	1198
17748-h	1198
1775	1185|1197
1776	1179|1203
178	1178|1184|1197|1198|1203
1783	1179
1784	1179|1210
1789	1179|1198|1199
179	1197|1203|1210
1790	1198|1199
1791	1200
1792	1179|1200
1795	1179|1189
1795-now	1189
1796	1179
1798	1198
17s	1200
17th	1179|1183|1185|1186|1187|1197|1199|1200|1213
17th-century	1179|1200
18	1178|1179|1180|1181|1183|1184|1185|1187|1188|1189|1190|1192|1193|1196|1197|1198|1199|1200|1201|1202|1203|1205|1210|1211|1212|1213|1217|1218|1222|1226
18-strong	1183
18-year	1180|1210
18-year-old	1183
180	1178|1203|1210
1800	1198|1200|1207
1801	1198
1801-50	1198
1802	1200
18028	1210
1804	1179|1198
1805	1225
1806	1207
1807-1914	1185
1808	1198
181	1178|1203|1210
1810	1197|1198
1811	1199
1812	1198
18128	1215
1813	1198
1814	1200
1815	1179|1189|1200
1817	1197|1200
1819	1179|1211
182	1187|1203
1820	1179|1197|1198|1199
1820s	1225
1821	1185|1200|1210|1211
1824	1200|1214
1825	1198|1211
1826	1197|1200
1827	1179
1828	1198
1829	1179|1197
183	1198|1199|1203
1830	1185|1189|1197|1198|1200|1201
1830s	1199
1831	1189|1200
1831-2	1211
1832	1198
1833	1211
1834	1189|1197
1835	1205
1837	1189|1197|1200
1838	1197
1839	1179|1199|1211
184	1203
1840	1179|1197|1198|1199
1840-50	1198
1840s	1198
1841	1197|1198
1842	1198
1843	1198|1199|1211
1844	1197
1845	1198
1846	1187
1847	1197
1848	1211
1848-9	1211
1849	1197|1199|1207
185	1184|1197|1203|1210
1850	1179|1197|1198|1210
1850-2000	1185
1850a-02	1198
1850s	1210
1852	1200
1853	1200|1210
1854	1197|1211
1855	1197
1856	1197|1200
1857	1200|1211
185749148	1179
1858	1179|1210
1859	1198|1200
186	1178|1184|1203
1860	1198
1860s	1210
1861	1197|1198
1863	1200
1864	1197|1199|1200
1865	1198|1200
1866	1200|1207
1867	1189|1207|1210
1868	1179|1198
1869	1198|1200
187	1185|1188|1203
1870	1179|1197|1198|1199|1203
1870000187	1203
1870s	1205|1210
1871	1189|1198|1210
1872	1179
1873	1197|1198
1873144	1220
1874	1210
1875	1198
1876	1203|1210
1877	1179|1198|1200|1201|1203
1878	1185|1197|1200|1203|1205
1879	1198|1210
188	1189|1197|1203
1880	1189|1198|1210|1213
1880s	1203|1210|1225
1881	1185|1198|1200
1882	1198|1200|1213|1216
1883	1198|1203
1884	1185|1200
1885	1185|1197|1198|1199|1203|1214
1886	1210
1887	1197|1207|1210
1888	1187|1200|1210|1216
1889	1198|1205|1210
189	1184|1189|1203
1890	1187|1198
1890s	1210
1891	1179|1200
1891536	1214
1891540	1214
1892	1179|1185
1893	1198|1210
1894	1200|1225
1895	1198
1896	1185|1198|1200|1203
1897	1189|1197|1198|1199|1207
1899	1185|1200|1205
18_mar_1	1187
18s	1200
18th	1179|1189|1199|1200|1203|1205|1211
18th-century	1179|1197
19	1178|1179|1180|1181|1182|1183|1184|1185|1187|1188|1189|1192|1193|1196|1197|1198|1199|1200|1201|1202|1203|1205|1210|1211|1212|1213|1217|1218|1221|1222|1225|1226
19's	1193
19-th	1203
190	1178|1189|1198|1200|1203
1900	1185|1189|1198|1199|1200|1205|1210|1225
1901	1197|1198
1902	1200
1902434	1189
1903	1184|1187|1200
1904	1200|1210
1905	1185|1189|1200|1225
1906	1179|1187|1200|1210
1907	1185|1200|1210
1908	1200|1203|1210
1909	1185|1193|1197|1198|1199|1200|1205|1213
1909-06-14	1213
191	1184|1189|1203
1910	1185|1189|1194|1197|1198|1200|1210|1211|1225
1911	1179|1185|1187|1197|1198|1203|1210
1911_Encyclop	1203
1912	1198|1199|1200|1203|1210
1913	1187|1197|1200|1203|1210|1213|1225
19133156	1182
1914	1198|1200|1201|1207|1210
1915	1198|1200|1210
1916	1210
1917	1210
1918	1198|1203|1210|1225
1918-1992	1205
1919	1184|1185|1197
19195	1178
192	1184|1203
192-207	1217
1920	1181|1184|1185|1197|1198|1200|1203|1210
19200	1181
1920s	1197|1198|1210
1921	1189|1200|1207|1213|1214
1922	1187|1210
1923	1205|1210
1924	1210|1213
1925	1198|1199|1200|1207|1210
1926	1187|1205|1210
1927	1187|1189|1198|1200|1210|1213
1928	1187|1193|1203|1210|1218
1928-05-12	1218
1929	1187|1198|1210|1213|1222
193	1187|1203
1930	1184|1198|1203|1210|1212|1213|1226
1930-01-20	1226
1930s	1184|1187|1199|1200|1201|1210|1211|1213|1221
1931	1207|1210|1213
1932	1197|1198|1207|1210
1933	1207|1210
1934	1183|1198|1210|1218
1935	1189|1200|1210|1213
1936	1197|1201|1207|1210|1213
1937	1197|1200|1201|1210|1214|1218
1938	1197|1200|1201|1203|1213
1939	1184|1197|1200|1201|1210|1213|1221
194	1178|1184|1189|1199|1203
194-LW	1213
1940	1183|1184|1187|1197|1198|1199|1201|1210|1213|1218
1940s	1184|1198|1210|1213
1941	1183|1184|1187|1198|1201|1203|1205|1210|1213|1218
1942	1182|1184|1198|1210|1213
1942-06-27	1182
1943	1184|1203|1207|1210|1213
1944	1200|1203|1205|1210|1213
1945	1179|1184|1187|1197|1198|1205|1210|1213
1945-2000	1214
1946	1187|1192|1198|1200|1203|1210|1213|1218|1226
1947	1187|1198|1200|1207|1209|1210|1213|1218
1947-04-10	1209
1948	1185|1187|1198|1201|1203|1213|1214|1218
1949	1179|1183|1184|1198|1201|1203|1207|1210|1213|1218
1949-09-23	1183
195	1185|1203|1205
1950	1183|1198|1200|1210|1213|1214|1218|1222
1950s	1181|1184|1185|1188|1189|1192|1198|1210|1213
1951	1183|1187|1198|1201|1210|1213|1218|1226
19510814	1198
1952	1184|1187|1189|1192|1201|1203|1207|1210|1213|1218
1953	1187|1210|1213|1218|1226
1954	1181|1184|1187|1200|1201|1203|1210|1213|1218
1954-11-23	1181
1955	1181|1184|1192|1195|1201|1203|1210|1213|1226
1955-2010	1195
1956	1183|1184|1187|1189|1199|1201|1210|1213
1957	1180|1182|1187|1189|1198|1207|1210|1212|1213|1218
1957-10-06	1180
1958	1187|1189|1192|1195|1197|1200|1201|1205|1210|1213|1218
1959	1181|1182|1185|1187|1189|1192|1195|1201|1207|1210|1213|1216|1218
