'	2962|2966|2969|2970|2971|2976
'03	2970
'An	2966
'Back-o-Wall'	2965
'Blue	2977
'Brown	2977
'City	2979
'Divine'	2975
'Eg'	2969
'Ego'	2970
'Em	2970
'Goodbye	2966
'Great	2966
'Hedda	2966
'Homicide'	2966
'I	2970
'Iron	2969
'Lessons	2971
'Mansions	2975
'Mortuary	2975
'Origins	2965
'Prymate'	2966
'Rex'	2966
'SNL'	2970
'Single	2970
'Songwriter	2969
'State'	2975
'Sweet	2966
'The	2966
'Til	2969
'approved'	2971
'coup'	2971
'cuts	2978
'discovered'	2979
'preaching	2964
'quaver'	2976
'ruling	2975
's	2967|2970
'species'	2963
'ti'	2976
'was	2971
-	2960|2961|2962|2963|2964|2965|2966|2967|2968|2969|2970|2971|2972|2973|2974|2975|2976|2977|2978|2979
-113	2962
-Beyonce	2970
-a0135246782	2979
-fa	2971
-long	2962
-mry	2971
0	2962|2963|2964|2970|2971|2977|2978|2979
0-19-510234-7	2975
0-19-511374-8	2975
0-19-512633-5	2975
0-19-513572-5	2979
0-19-814098-3	2979
0-253-33349-0	2963
0-253-33907-3	2963
0-253-34514-6	2963
0-253-34817-X	2963
0-292-77772-8	2971
0-300-10583-5	2964
0-300-10910-5	2964
0-300-10948-2	2972
0-380-75896-2	2963
0-380-83519-3	2963
0-387-13114-0	2963
0-415-11950-2	2979
0-415-14889-8	2979
0-415-26025-6	2979
0-500-05084-8	2975
0-500-05100-3	2975
0-500-05107-0	2975
0-520-05133-5	2979
0-520-06697-9	2975
0-520-06727-4	2963
0-520-20531-6	2971
0-520-24209-2	2963
0-521-29643-9	2973
0-521-40107-0	2979
0-521-43810-1	2963
0-521-62610-2	2966
0-521-83910-6	2971
0-573-60832-6	2966
0-573-61545-4	2966
0-659-96553-4	2963
0-660-51095-2	2962
0-660-53463-0	2962
0-660-57115-3	2962
0-660-59283-5	2962
0-670-80848-2	2975
0-679-43386-4	2963
0-691-05900-4	2963
0-691-07054-7	2975
0-691-11488-9	2975
0-7103-0065-4	2975
0-7141-0993-2	2975
0-7156-0589-5	2975
0-7190-0311-3	2975
0-7478-0327-7	2975
0-7535-0242-9	2967
0-7546-0807-7	2979
0-7661-3621-3	2979
0-7661-3775-9	2979
0-7732-0047-9	2963
0-7864-1573-8	2979
0-7914-5279-4	2979
0-8014-3115-8	2975
0-8014-3399-1	2975
0-8014-3786-5	2975
0-8014-8654-8	2975
0-8014-8853-2	2975
0-8065-0782-9	2963
0-8101-1065-2	2979
0-8133-4061-6	2975
0-8217-2859-8	2963
0-8240-3796-0	2966
0-85263-789-6	2975
0-85323-755-7	2979
0-87451-208-5	2979
0-87451-321-9	2975
0-87930-655-6	2967
0-88830-100-6	2962
0-88864-392-6	2962
0-88864-423-X	2962
0-88864-449-3	2962
0-89950-917-7	2963
0-918986-75-3	2975
00	2962|2963|2968|2970|2973|2977|2979
000	2962|2963|2964|2965|2968|2970|2971|2972|2977|2979
000-plus	2962
000001	2971
00021-5	2968
0006-2510	2970
0007-6287	2979
00070	2978
001	2971
00190-3	2978
002	2962|2971
00219-0	2978
00240940252940612	2979
0025186	2963
00349	2963
00448	2963
006	2977
007	2963
00803-X	2978
0088697417352	2970
0098	2962
01	2962|2963|2970|2971|2978
010	2971
011	2971
012	2971
013	2977
014	2968
01485018508986912	2978
015	2962|2978
017	2971
019	2977
02	2970|2971|2972|2978
0203000000000000000567	2971
024	2962
027	2962
0272-4634-28	2963
028504	2960
03	2962|2963|2970|2979
030	2962
0301-5556	2963
031	2962
03115510802096101	2963
033	2971
034	2962
034kggwf	2971
035	2962
039	2963
04	2968|2970|2971|2977
04044	2962
048	2963|2971|2977
05	2962|2970|2971
051	2962
0526	2971
056	2977
06	2963|2970|2971|2972|2975|2979
06-05-09	2979
061121232204	2971
07	2962|2970|2971|2972|2974|2976
070629091349	2963
071	2971
072	2971
073	2962
074	2962
075	2962
076	2971
07974	2960
08	2962|2971
08030	2978
0812	2963
081204-polar-dinosaurs	2963
0812631106	2963
083	2962
083H11	2962
085	2971
09	2962|2970|2971
093	2979
0951-0788	2979
09CAIRO1468	2971
09CAIRO874	2971
1	2960|2961|2962|2963|2964|2965|2966|2967|2968|2969|2970|2971|2972|2973|2974|2975|2976|2977|2978|2979
1's	2970
1-	2971
1-4160-2328-3	2978
1-4179-0608-1	2979
1-55152-103-2	2962
1-55238-052-1	2962
1-55652-072-7	2975
1-55971-038-1	2963
1-84215-757-4	2975
1-84353-329-4	2967
1-85709-315-1	2979
1-85709-938-9	2979
1-85759-210-7	2979
1-86197-490-6	2975
1-86220-054-8	2964
1-billion	2962
1-in-200	2962
10	2960|2961|2962|2963|2964|2965|2966|2968|2969|2970|2971|2972|2975|2977|2978|2979
10-week	2960
100	2961|2962|2963|2964|2965|2968|2970|2971|2972|2973|2975|2977|2979
1001	2978
1002	2963
100410cluk	2970
100477762	2969
1007	2963|2978
101	2962|2963|2964|2968|2971|2975|2979
1010	2968
1016	2963|2968|2978
101612	2969
102	2962|2963|2964|2971|2975|2977|2979
10207	2968
103	2962|2963|2964|2971|2975|2978|2979
1038	2963
104	2962|2964|2971|2975|2979
1042	2975
1048	2978
105	2962|2964|2971|2975|2979
1057	2978
106	2962|2963|2964|2968|2971|2975|2979
1061	2962|2963
1066	2964
1069	2973
107	2962|2963|2964|2971|2975|2979
1070	2971|2975
1073	2963
1079	2978
108	2962|2964|2971|2975|2979
1080	2963
108481	2971
1088	2963
109	2962|2964|2971|2975|2979
1090	2973
1095193	2964
1096-3642	2963
1098	2963
10th	2971|2973
11	2960|2962|2963|2964|2965|2966|2968|2969|2970|2971|2972|2975|2977|2978|2979
11-12	2962
110	2962|2963|2964|2971|2975|2979
111	2962|2963|2964|2971|2975|2979
1111	2963|2978
11194	2963
11199	2963
112	2962|2963|2964|2971|2975|2979
1126	2963|2978
113	2962|2964|2971|2975|2977|2979
1139	2963
113th	2971
114	2962|2963|2964|2971|2975|2979
1145	2964
115	2962|2964|2971|2975|2979
1155	2971
116	2962|2964|2971|2975|2979
1162	2979
1169171	2978
117	2962|2963|2964|2971|2975|2979
1177614	2966
118	2962|2964|2971|2975|2979
1186	2973
1189	2964
119	2962|2964|2971|2975|2979
1190	2964
119897	2971
11th	2973|2975
11x17_Provincial_Network_Map	2962
12	2962|2963|2964|2965|2966|2968|2969|2970|2971|2972|2975|2976|2977|2978|2979
120	2962|2963|2964|2971|2975|2979
1200	2973
120317cluk	2969
1205	2973
121	2962|2964|2971|2975|2979
1211	2979
12127009	2978
122	2962|2963|2964|2971|2975|2979
123	2962|2964|2971|2975|2979
123-142	2971
123287031	2979
1234	2962
124	2962|2964|2971|2975|2979
1243	2963
12436771	2962
1245	2964
125	2962|2964|2971|2975|2979
1250	2971
1259	2978
126	2962|2964|2971|2975
1265	2963
126th	2971
127	2962|2963|2964|2971|2975|2977|2979
128	2961|2962|2963|2964|2971|2975
12887469	2978
129	2962|2963|2964|2971|2975
1295	2973
12egypt	2971
12th	2964|2973
12th-century	2964
13	2962|2963|2964|2965|2966|2968|2969|2970|2971|2972|2975|2976|2978|2979
130	2962|2963|2964|2971|2975|2979
1300	2978
1307	2964
131	2962|2964|2971|2975
1315	2964
132	2962|2963|2964|2970|2971|2975
1328	2978
133	2962|2963|2964|2971|2975|2979
1332	2978
134	2962|2964|2971|2975
13430	2971
134373194	2960
135	2962|2963|2964|2971|2975|2979
1350	2971|2973
136	2962|2964|2971|2975|2979
1360	2964
137	2962|2964|2971|2975|2979
1371	2963
1377	2964
138	2962|2964|2971|2975
139	2962|2964|2971|2975
13C	2963
13th	2964|2971|2973
14	2960|2962|2963|2964|2965|2966|2968|2969|2970|2971|2972|2973|2975|2976|2977|2978|2979
140	2962|2964|2971|2975|2977
141	2962|2964|2971|2975
142	2962|2964|2971|2975
142840895	2971
143	2962|2964|2971|2975
144	2962|2963|2964|2975
145	2962|2964|2975
1457	2971
146	2962|2963|2964|2975|2979
14610645	2963
1464-410X	2978
147	2962|2964|2975
1475-4983	2963
148	2962|2964|2975
1483	2971
149	2962|2964|2975|2977
14th	2973
15	2960|2961|2962|2963|2964|2966|2968|2969|2970|2971|2972|2975|2978|2979
15-576-591	2963
150	2962|2964|2971|2973|2975|2979
150-year-old	2960
1500239	2969
1502-3931	2963
15069045	2978
151	2962|2963|2964|2975
15100	2962
1517	2971|2979
152	2962|2964|2975|2977|2979
1526	2979
15265846	2978
1528	2979
153	2962|2964|2970|2975
1531	2979
1538	2979
154	2962|2963|2964|2975|2979
1541	2979
155	2962|2963|2964|2975|2979
155-170	2974
1550	2964|2971|2973|2975
1556	2979
156	2962|2963|2964|2975|2977
1563	2979
1565	2979
1566	2979
1567	2979
1568	2979
157	2962|2964|2975|2979
1570	2979
1570s	2979
1571	2979
1572	2979
1575	2979
1576	2979
1577	2979
1578	2978|2979
1579	2979
158	2962|2964|2975
1580	2973
1585	2979
1586	2979
