'	2749|2751|2752|2757|2761
'03	2750
'05	2746
'45	2746
'60s	2746
'61	2746
'68	2746
'70s	2758
'75	2748
'76	2749
'84	2746
'America's	2761
'American	2761
'Are	2749
'B'Day'	2750
'Baby	2750
'Crazy	2750
'D	2750
'Deja	2750
'Devo	2749
'Em	2746
'G'	2751|2752
'Gangster'	2758
'How	2758
'I've	2758
'In	2749
'Jocko	2749
'Massive	2761
'N	2758
'Naughty	2750
'Only	2761
'Sounds	2754
'The	2761
'We	2749
'We've	2749
'Z'	2751|2752
'Zebra'	2751|2752
'already'	2753
'and'	2751|2752
'beautiful'	2753
'brother'	2753
'brothers'	2753
'c'	2751|2752
'cat'	2751|2752
'ch'	2751|2752
'class'	2760
'classes'	2760
'comb'	2760
'de-evolution'	2749
'em	2746|2748
'flea'	2760
'flower'	2753
'g	2751|2752
'g'	2751|2752
'gay'	2753
'geometry'	2751|2752
'heart	2746
'horse'	2760
'humid'	2753
'k'	2751|2752
'log'	2751|2752
'maths'	2751|2752
'mother'	2753
'mothers'	2753
'n	2761
'n'	2749|2751|2752|2761
'o'	2751|2752
'oil'	2760
'over-all	2760
'pigweed'	2760
's	2743|2744|2750|2757|2760
'snake'	2760
'system'	2760
'throughout'	2760
'ts'	2751|2752
'tsunami'	2751|2752
-	2743|2744|2745|2746|2747|2748|2749|2750|2751|2752|2753|2754|2755|2756|2757|2758|2759|2760|2761
-10	2753
-12	2755
-13	2753
-14	2753
-15	2753
-16	2753
-2	2753
-3	2753
-4	2753
-9	2753
-Beyonce	2750
-a063732457	2758
-e	2753
-i	2751|2752
-ii	2751|2752
-kar	2751|2752
-key	2753
-les-Roses	2753
-s	2753
-sounds	2753
0	2745|2746|2749|2750|2753|2755|2757|2761
0-19-869126-2	2753
0-312-01109-1	2757
0-313-29830-0	2757
0-321-48091-0	2753
0-631-22583-8	2757
0-679-42874-7	2757
0-684-80463-8	2757
0-7867-1220-1	2757
0-7893-0797-9	2757
0-8065-2849-4	2757
0-8143-2356-1	2746
0-8143-2826-1	2746
0-8143-3025-8	2746
0-8143-3040-1	2746
0-8154-1000-X	2757
0-946719-49-7	2749
00	2750|2755|2757
000	2746|2750|2757|2761
004	2746
0044-2356	2755
005	2746
0080-2557	2755
009	2756
00C4	2753
00CB	2753
00CF	2753
00D6	2753
00DC	2753
00E4	2753
00EB	2753
00EF	2753
00F6	2753
00FC	2753
00FF	2753
01	2743|2744|2749|2750|2753|2758|2761
0159	2753
0178	2753
0196	2753
02	2743|2744|2746|2747|2749|2758|2761
0203	2753
0207	2753
0214	2753
0220	2753
02255	2753
0228	2753
0235	2753
0239	2753
024	2746
0246	2753
0252	2753
0255	2753
028	2746
02moog	2749
03	2743|2744|2748|2749|2761
030	2746
0308	2753
0313350817	2749
033	2746
034F	2753
04	2743|2744|2749|2750|2761
04091	2756
045	2746
047	2746
049	2757
04choi	2750
05	2743|2744|2749|2750|2761
053	2757
06	2743|2744|2746|2750|2761
060907	2750
060925gore_GOAT_recordings	2750
07	2743|2744|2749|2750|2756|2759|2761
08	2743|2744|2746|2748|2749|2750|2760
09	2743|2744|2750|2758
09060	2756
0yUYAAAAYAAJ	2755
1	2743|2744|2745|2746|2747|2748|2749|2750|2751|2752|2753|2754|2755|2756|2757|2758|2759|2760|2761
1's	2743|2744|2749|2750
1-2	2755
1-4259-7140-7	2757
10	2743|2744|2746|2749|2750|2751|2752|2753|2755|2756|2757|2758|2760|2761
10-07-19	2761
100	2746|2748|2750|2755|2757|2758|2760|2761
100085562	2760
1002726557	2750
1002950027	2750
1003053807	2750
1003086489	2750
1003520936	2757
1005173792	2750
101	2746|2760
1017	2760
102	2746|2760
103	2746
