'	984|986|1004|1026
''De	1020
'21'	987
'30s	1014
'40s-1958	1003
'60s	1004
'65	987
'66	994
'76	984
'79	1007
'ABC'	1004
'Alexa'	1007
'BET'	1028
'Bay	1026
'Beat	1004
'Best	980
'Billie	1004
'Bing	1010
'Black	1026
'Blues	1008
'Bohemian	1004
'Book	1007
'Bout	985|1009
'Bridge	1026
'But	1004
'Dancing	1009
'Em	987|994
'Expect	983
'Face	1007
'Hello	984
'I	1004
'I'm	1004
'Idol'	1004
'If	1020
'In	987
'Incorporating	1017
'It's	1004
'Justments	985
'Keep	1027
'LONESOME	1009
'Like	1019
'Loyalty'	1019
'Michael	1004
'N	1003
'N'	1008
'Nothing	1004
'Obvious'	1009
'Ow	1026
'Rabbit	984
'Rap'	1028
'Rising	997|998
'Rockin'	1004
'Round	984|1004
'Search	1010
'Sex'	1010
'She	1004
'Side'	1009
'Startin'	1004
'T'-shaped	1020
'Take	984
'That's	1004
'The	987|1004|1007
'This	984
'Thrift	993
'Thriller	1004
'Thriller'	1004
'Til	1004
'To	1007
'Uptown	1007
'a'	1026
'bingo'	1010
'biological	1018
'biotech'	1017
'biotechnology'	1017
'burden'	1018
'clocks'	1018
'copying'	1010
'emotional	1007
'en'	1026
'er	1026
'fer'	1026
'focus	980
'gooen'	1026
'hond'	1026
'hotels'	1010
'human'	1017
'loff'	1026
'minipill'	1020
'mon'	1026
'movie	980
'n	1007
'n'	994|1004|1007
'o'	1026
'opple'	1026
'ow	1026
'progressive'	1011
'rocks'	1018
's	987
'sond'	1026
'species'	1018|1021|1027
'sponner'	1026
'the	1020
'transitional'	980
'uptown	1007
'winder'	1026
'z	1019
-	979|980|981|982|983|984|985|986|987|988|989|990|991|992|993|994|995|996|997|998|999|1000|1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028
--	994|1009|1028
--namely	1011
-2	1026
-Elton	1003|1007
-F	1023
-M	1021
-P	1021
-Tribute	1004
-U	1015
-Urdu	1023
-_c7JP6vzd4C	1020
-fa	1015
-gcEAAAAMBAJ	987
-i	1023
-logia	1015
-pound	1007
-vis	1017
-was	1005
-worth	1020
0	982|1004|1009|1010|1014|1015|1018|1020|1021|1027
0-03-016723-X	1015
0-06-093764-5	1020
0-07-135020-9	1017
0-12-226810-5	1018
0-12-517375-X	1018
0-12-735420-4	1018
0-13-186266-9	1018
0-14-013501-4	1017
0-14-051349-3	1012
0-14-051575-5	982
0-19-509615-0	1011
0-19-514332-9	1011
0-19-521083-2	1012
0-19-850125-0	1018
0-19-850837-9	1018
0-19-854651-3	1018
0-19-854768-4	1015
0-207-18013-X	1027
0-213-16603-8	982
0-214-20512-6	985
0-226-71210-9	1015
0-226-85218-0	984
0-262-63272-1	1011
0-262-70072-7	1011
0-262-70112-X	1011
0-300-04085-7	1018
0-304-52257-0	1027
0-313-24628-9	1012
0-313-30952-3	1012
0-313-31399-7	1020
0-313-31889-1	1012
0-314-15199-0	1023
0-314-15862-6	1023
0-314-19949-7	1023
0-314-22864-0	1023
0-314-25791-8	1023
0-314-27544-4	1023
0-321-49145-9	1017
0-330-42005-4	1004
0-340-84114-1	982
0-385-24712-5	1004
0-394-53957-5	1018
