'	2528|2531|2533|2534|2539|2540
''	2533
''Archbishop	2533
'00s'	2531
'03	2531
'08	2546
'100	2531
'4'	2531
'80S	2546
'80s	2546
'90s	2532
'97	2528
'Anti-Darwin'	2533
'Bottle'	2528
'Caribbean'	2539
'Chasing	2531
'Crack	2528
'Crazy	2531
'Crazy'	2531
'CrazySexyCool'	2532
'Creationism	2533
'Cuz	2531
'Dangerously	2531
'Duets'	2531
'Em	2547
'Feels	2531
'G'	2528
'Get	2528
'God	2533
'Hair'	2531
'Hova'	2531
'Idol'	2531
'Left	2532
'Love'	2531
'Number	2528
'Only	2539
'Round	2531
'Sforzando'	2540
'Till	2528
'a	2539
'abruptly	2533
'belief	2533
'crime'	2544
'em	2528
'essential	2534
'harm'	2544
'hedonist'	2544
'hellish'	2542
'imaginary	2544
'intelligent	2533
'label'	2544
'n	2528
'piano'	2540
'pluck	2540
'ps	2540
'rational	2544
's	2531|2533
'scientific	2533
'self-fulfilling	2544
'sell'	2534
'significant	2544
'some	2534
'species'	2541
'terraced	2540
'the	2533
'to	2538
-	2528|2529|2530|2531|2532|2533|2534|2535|2536|2537|2538|2539|2540|2541|2542|2543|2544|2545|2546|2547
--	2547
-100	2542
-150	2542
-200	2542
-250	2542
-300	2542
-350	2542
-400	2542
-450	2542
-50	2542
-500	2542
-550	2542
-600	2542
-B	2542
-Beyonce	2531
-Explicit-	2528
-NC	2534|2535|2536
-SA	2535|2536
-centric	2535|2536
-chart-dominance-1938016	2531
-crack-a-bottle-sets-soundscan-record	2528
-logia	2544
0	2530|2531|2532|2533|2534|2535|2536|2541|2542|2543
0-02-905590-3	2544
0-02-905770-1	2544
0-02-921130-1	2544
0-19-515742-7	2533
0-19-553071-3	2541
0-19-910207-4	2541
0-226-14374-0	2533
0-226-45113-5	2544
0-226-74411-6	2533
0-226-75125-2	2544
0-252-00454-X	2539
0-262-66124-1	2533
0-306-70124-3	2543
0-309-10586-2	2533
0-333-63024-6	2538
0-375-40249-7	2544
0-387-96272-7	2544
0-393-05981-2	2533
0-393-30052-8	2540
0-412-39380-8	2542
0-415-02755-1	2544
0-511-12388-4	2542
0-520-23693-9	2533
0-520-24209-2	2542
0-520-24650-0	2533
0-521-40203-4	2544
0-521-58392-6	2542
0-521-78142-6	2542
0-593-05548-9	2533
0-644-07124-9	2541
0-646-42798-9	2541
0-669-01292-0	2543
0-670-90478-3	2541
0-674-02339-0	2533
0-684-83635-1	2544
0-691-05900-4	2542
0-7181-3430-3	2533
0-7623-1322-6	2544
0-7658-0900-1	2544
0-7679-0303-X	2533
0-8006-1768-1	2533
0-8039-9029-4	2544
0-8108-3386-7	2533
0-8133-3487-X	2543
0-8368-4230-8	2531
0-86417-878-6	2541
0-87306-174-8	2533
0-87975-853-8	2533
0-88125-328-6	2533
0-89720-044-6	2538
0-931625-43-2	2542
00	2530|2531|2533|2534|2543
000	2528|2531|2532|2533|2534|2542|2543
000-evolution-myths-it-doesnt-matter-if-people-dont-grasp-evolution	2533
00062-7	2538
00071595	2541
000C2691-4F88-1E40-89E0809EC588EEDF	2534
000x	2532
001	2533
0010	2537
00128-X	2542
0027-8424	2542
0037-0738	2542
