'	3568|3569|3573|3574|3582|3583
'03	3582
'66	3573
'70s	3581
'78	3570
'80s	3568|3581
'90	3581
'A	3582
'AGT'	3568
'American	3568
'Baby	3568
'Bad	3569
'Body	3568
'Bones'	3568
'Bout	3571
'C'	3583
'Cabaret'	3568
'Can't	3582
'Complete	3568
'Criminal	3568
'DWTS'	3568
'Dagongmei'	3579
'Dancing	3568
'Don't	3568
'Everybody	3582
'Fringe'	3568
'GLEEK'	3568
'Glee	3568|3569
'Glee'	3568|3569
'Glee'-like	3568
'Glory'	3582
'I	3568
'I'll	3568
'Lost'	3568
'Mob	3568
'NCIS	3568
'NCIS'	3568
'New	3568
'Once'	3572
'Original	3568
'Post-Digital'	3574
'Push	3569
'Q	3571
'Season	3568
'Should	3574
'Sunday	3568
'Tattoo'	3582
'The	3568|3569|3572
'Touch'	3568
'Trees'	3585
'Turn	3571
'When	3573
'You're	3582
'close	3576
'dumb'	3576
'glottochronology'	3585
'golden	3575
'live'	3583
'locked'	3583
'n	3583
'n'	3570|3581
'one'	3585
's	3567|3568|3569|3573
'security	3580
'triumphant'	3567
'two'	3585
'type	3575
'verb	3583
-	3567|3568|3569|3570|3571|3572|3573|3574|3575|3576|3577|3578|3579|3580|3581|3582|3583|3584|3585|3586
--	3574
---	3583
--a	3583
-01-08	3580
-19	3576
-29	3576
-31	3576
-33	3576
-43	3576
-5	3576
-55	3576
-Greek	3585
-US	3581
-a0216041321	3576
-code	3576
-wUEAAAAIBAJ	3571
0	3568|3569|3570|3571|3572|3576|3580|3585
0's	3583
0-309-05283-1	3576
0-415-94365-5	3574
0-521-38245-9	3579
0-631-19814-8	3584
0-679-41999-3	3571
0-7486-0775-7	3585
0-7546-2045-X	3576
0-7748-0994-9	3579
0-7935-5254-0	3570
0-8176-4390-7	3576
0-8320-7632-6	3571
0-9709544-1-7	3576
00	3567|3568|3570|3571|3572|3574|3576|3580|3585
00-00	3567
00-11	3567
00-12	3567
00-13	3567
00-14	3567
00-15	3567
00-16	3567
00-17	3567
00-18	3567
00-19	3567
00-20	3567
00-21	3567
00-22	3567
00-23	3567
000	3568|3569|3572|3576|3579|3580
001	3576
00285510	3576
006	3568
007	3576
00pm	3568
01	3568|3571|3576|3580|3582
01-e	3573
010907	3576
0176	3585
0183	3576
02	3568|3569|3570|3571|3572|3579|3580
023	3576
024	3576
025	3580
028020-110	3573
029	3569
02adco	3568
03	3568|3569|3576|3580
031261974X	3571
0316123595	3568
0316123609	3568
04	3568|3576|3580|3581
043	3569
04gps	3580
05	3567|3568|3569|3571|3576
05-13	3567
05-14	3567
05-20	3567
05-23	3567
052	3569
06	3568|3569|3571|3572|3576|3580
06-23gecs2009nrpr	3578
0625	3567
0627	3567
07	3568|3571|3572|3574|3576|3580
073	3569
075	3569
08	3568|3571|3572|3576|3580|3584
086	3569
09	3568|3570|3576|3582
0A	3572
0CDQQ6AEwAQ	3571
0CDsQ6AEwAA	3571
0CE4Q6AEwAw	3571
1	3567|3568|3569|3570|3571|3572|3573|3574|3575|3576|3577|3578|3579|3580|3581|3582|3583|3584|3585|3586
1'	3568
1's	3576|3583
1-10	3576
1-16	3576
1-183	3579
1-22	3576
1-224	3579
1-24	3576
1-3	3574
1-55750-973-5	3576
1-57806-395-7	3571
1-7	3579
1-8	3576|3579
1-904994-10-5	3573|3581
