'	3789|3790|3797|3802
'39	3790
'60s	3789
'70s	3789
'Air	3795
'Ava	3797
'Dark	3803
'Die	3801
'Funk'	3789
'Guinness	3805
'I'	3797
'Intervals	3806
'Nieuwe	3788
'Orders	3802
'Ordinances	3802
'S	3797
'They'	3797
'Viaer	3802
'You	3790|3797
'You'	3797
'aparima	3795
'ava	3795
'break'	3805
'code	3801
'em	3790
'fast-track'	3805
'feel'	3789
'funk'	3789
'funky'	3789
'gripe	3787
'matching'	3801
'no	3802
'ote'a	3795
'power	3789
'reading'	3801
'upa'upa	3795
'we	3797|3805
-	3787|3788|3789|3790|3791|3792|3793|3794|3795|3796|3797|3798|3799|3800|3801|3802|3803|3804|3805|3806
-2	3802
-5141	3796
-90	3799|3800
-93	3800
-From	3800
-MAH-l	3799
-Pwo	3795
-aa	3788
-base-mo'	3797
-ee	3788
-eei	3788
-en	3788
-ey	3802
-fa	3799
-g	3788
-g-	3788
-h	3797
-held	3795
-i	3797
-inating	3802
-kuri	3797
-ma	3797
-ne	3797
-oo	3788
-ow	3788
-pa	3797
-pota	3797
-ra'e	3797
-raka'e	3797
-remembering	3797
-ri	3797
-shaped	3806
-sponsored	3799
-ta	3797
-te	3797
-va'ekue	3797
-va'er	3797
-vo	3797
0	3791|3794|3795|3799|3800|3802|3806
0-14-005222-4	3790
0-19-280722-6	3791
0-19-509427-1	3799
0-19-512317-4	3799
0-306-80607-X	3790
0-306-80666-5	3790
0-306-81104-9	3790
0-312-25292-7	3790
0-330-31132-8	3790
0-330-32750-X	3806
0-345-35654-3	3790
0-375-70207-5	3790
0-387-94285-8	3791
0-405-08496-X	3806
0-486-65377-3	3791
0-571-12915-3	3790
0-571-16289-4	3806
0-631-21263-9	3789
0-672-52224-1	3790
0-679-50355-2	3790
0-7091-1541-5	3802
0-7134-7838-1	3790
0-7136-6498-3	3802
0-7432-5820-7	3791
0-8047-4817-9	3800
0-8147-1670-9	3789
0-8160-3962-3	3799
0-8263-2774-5	3799
0-87910-036-2	3790
00	3791|3795|3799|3800|3804|3806
000	3788|3790|3791|3794|3795|3798|3799|3800|3802|3805
0001	3802
000392	3795
000a	3795
0010-437X	3791
00223340120049424	3795
0025-570X	3791
0043446	3795
01	3787|3795|3797|3799|3800|3804
012	3802
01619566609537383	3795
02	3795|3797|3800|3803|3804|3805
0290613	3791
03	3791|3797|3798
0347778	3791
04	3800
042	3799
043	3799
044	3795
048	3795
05	3795|3799|3802|3803
