'	588|596|598|601|605|610|615|618|628|629|630
'11	619|620
'1984'	619|620
'66	593
'67	593
'68	593
'9	627
'90	593
'99	593
'A	588
'Anna	588
'Another	593|595
'Anthropology	603
'Apache'	614
'Appalucy'	618
'Arab	627
'Arabian	628|630
'Art	603
'Best	593
'Boaz'	625
'Boot	619|620
'Bye	587
'Campaign	627
'Can	601
'Chinese	603
'Cribs'	629
'Current	591
'Dalits	588
'Day	627
'Elvis	589
'Fosse'	587
'Friday	627
'Game	621
'Get	619|620
'God	627
'Gorton	608
'Green	619|620
'Here	588
'Hoopoe	596
'I	625
'In	587
'Islamist	627
'Island	627
'It	627
'Love	601
'Mad	587
'Maoist'	625
'Mathematical	621
'Miss	631
'Mr	601
'Naksa'	627
'Newley	601
'No	627
'Opelousas	618
'People	627
'Pon	617
'Race'	603
'Rwanda'	625
'Secret	588
'Statement	603
'Stop	601
'Thank	615
'The	593|601|603|612|616
'Wall'	593
'Waste	608
'We	627
'When	615
'Willy	601
'Wonder'	595
'abject'	625
'aesthetic'	603
'aesthetics'	603
'all	617
'appoints	627
'are	598
'art'	603
'artistic'	603
'avoid	619|620
'big'n'	617
'biggest	619|620
'bumper'	619|620
'burn	600
'captured'	627
'cause	625
'cinema'	625
'clash	627
'coercion'	627
'corrupt'	619|620
'cultural	603
'day	627
'development	588
'devil's	597
'em	587|593|618
'feral'	608
'finds	615
'fluor'	625
'foot'	625
'football	625
'football'	625
'get	600
'ghotala'	588
'got	615
'has	609
'hell'	627
'help'	625
'in	591|628|630
'last	588
'literature'	603
'male	625
'medical	619|620
'misleading'	619|620
'n'	589
'needle'	625
'new	619|620
'opened'	625
'other	603
'painting'	603
'patch'	599
'poetic'	615
'prayer	628|630
'prayer'	628|630
'right	625
's	594|619|620
'sacred	627
'sculpture'	603
'seas'	625
'sharp'	625
'slosh'	615
'slow'	625
'so	608
'social	603
'sociocultural'	603
'species'	597|599|618
'through'	625
'to	625
'too	631
'tooth'	599
'topi'	588
'tub'	625
'un	617
'unhappy'	627
'we	625
'white'	625
'will	627
'willing	627
'zone	598
-	585|586|587|588|589|590|591|592|593|594|595|596|597|598|599|600|601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616|617|618|619|620|621|622|623|624|625|626|627|628|629|630|631|632|633
--	611|619|620
----	590
-04-05	627
-08-16	588
-09-29	619|620
-122	619|620
-169	615
-2	619|620|628|630
-61	610
-68	598
-73	613
-90	598
-Ethics	605
-G	626
-PA-chee	614
-a	617|628|630
-a-a-tu	628|630
-a0139784006	618
-a018652397	585
-ah	628|630
-aja	628|630
-ak	628|630
-al	628|630
-an	628|630
-anna	628|630
-at	628|630
-at-	628|630
-awa	628|630
-b-x	628|630
-ed	617
-er	617
-ever	617
-fa	597|598|628|630
-h	628|630
-hi-ra	628|630
-hu	628|630
-i	628|630
-i-	628|630
-ic	628|630
-ik	628|630
-in	628|630
-ing	617
-ist	625|628|630
-it	628|630
-iyy	628|630
-iyy-	628|630
-iyyah	628|630
-ka	628|630
-ki	628|630
-ktib	628|630
-ktub-	628|630
-logia	603
-m-r	628|630
-n	628|630
-na	628|630
-ni	628|630
-r-k	628|630
-rat-h	628|630
-rtn-	628|630
-sat-hum	628|630
-self	617
-selves	617
-t	628|630
-ta	628|630
-tan	628|630
-ti	628|630
-ti-b	628|630
